# Name:    1000N-H
# y_ppm:  118.49495    0.00004
# yw_hz:   21.98138    0.10483
# y_eta:    0.24912    0.04989
# x_ppm:    8.66313    0.00004
# xw_hz:   24.13228    0.10897
# x_eta:    0.06701    0.04601
#---------------------------------------------
#          Z               I           I_err
    -12000.0    4.231340e+05    1.213900e+04
     -1800.0    2.666036e+05    1.213900e+04
     -1775.0    2.711230e+05    1.213900e+04
     -1750.0    2.636085e+05    1.213900e+04
     -1725.0    2.687564e+05    1.213900e+04
     -1700.0    2.636337e+05    1.213900e+04
     -1675.0    2.588240e+05    1.213900e+04
     -1650.0    2.585175e+05    1.213900e+04
     -1625.0    2.547796e+05    1.213900e+04
     -1600.0    2.570053e+05    1.213900e+04
     -1575.0    2.485804e+05    1.213900e+04
     -1550.0    2.704954e+05    1.213900e+04
     -1525.0    2.439512e+05    1.213900e+04
     -1500.0    2.680315e+05    1.213900e+04
     -1475.0    2.470471e+05    1.213900e+04
     -1450.0    2.726254e+05    1.213900e+04
     -1425.0    2.536984e+05    1.213900e+04
     -1400.0    2.579924e+05    1.213900e+04
     -1375.0    2.663540e+05    1.213900e+04
     -1350.0    2.683053e+05    1.213900e+04
     -1325.0    2.712294e+05    1.213900e+04
     -1300.0    2.582976e+05    1.213900e+04
     -1275.0    2.637442e+05    1.213900e+04
     -1250.0    2.883999e+05    1.213900e+04
     -1225.0    2.449348e+05    1.213900e+04
     -1200.0    2.643404e+05    1.213900e+04
     -1175.0    2.560750e+05    1.213900e+04
     -1150.0    2.439333e+05    1.213900e+04
     -1125.0    2.796539e+05    1.213900e+04
     -1100.0    2.636504e+05    1.213900e+04
     -1075.0    2.739988e+05    1.213900e+04
     -1050.0    2.793300e+05    1.213900e+04
     -1025.0    2.579876e+05    1.213900e+04
     -1000.0    2.811341e+05    1.213900e+04
      -975.0    2.512602e+05    1.213900e+04
      -950.0    2.712028e+05    1.213900e+04
      -925.0    2.609760e+05    1.213900e+04
      -900.0    2.674300e+05    1.213900e+04
      -875.0    2.639766e+05    1.213900e+04
      -850.0    2.514282e+05    1.213900e+04
      -825.0    2.694710e+05    1.213900e+04
      -800.0    2.627244e+05    1.213900e+04
      -775.0    2.726735e+05    1.213900e+04
      -750.0    2.665745e+05    1.213900e+04
      -725.0    2.737776e+05    1.213900e+04
      -700.0    2.481668e+05    1.213900e+04
      -675.0    2.681425e+05    1.213900e+04
      -650.0    2.473830e+05    1.213900e+04
      -625.0    2.376208e+05    1.213900e+04
      -600.0    2.540414e+05    1.213900e+04
      -575.0    2.646693e+05    1.213900e+04
      -550.0    2.376174e+05    1.213900e+04
      -525.0    2.268815e+05    1.213900e+04
      -500.0    1.955808e+05    1.213900e+04
      -475.0    1.887639e+05    1.213900e+04
      -450.0    1.537784e+05    1.213900e+04
      -425.0    1.508844e+05    1.213900e+04
      -400.0    1.437599e+05    1.213900e+04
      -375.0    1.769383e+05    1.213900e+04
      -350.0    2.004466e+05    1.213900e+04
      -325.0    1.947626e+05    1.213900e+04
      -300.0    2.019936e+05    1.213900e+04
      -275.0    1.844341e+05    1.213900e+04
      -250.0    1.681208e+05    1.213900e+04
      -225.0    1.316222e+05    1.213900e+04
      -200.0    8.831801e+04    1.213900e+04
      -175.0    1.046412e+04    1.213900e+04
      -150.0   -7.943055e+03    1.213900e+04
      -125.0   -7.346258e+03    1.213900e+04
      -100.0    3.293667e+03    1.213900e+04
       -75.0    2.649313e+04    1.213900e+04
       -50.0    9.743696e+04    1.213900e+04
       -25.0    1.470664e+05    1.213900e+04
         0.0    1.795903e+05    1.213900e+04
        25.0    2.096322e+05    1.213900e+04
        50.0    2.315322e+05    1.213900e+04
        75.0    2.074452e+05    1.213900e+04
       100.0    2.513290e+05    1.213900e+04
       125.0    2.133767e+05    1.213900e+04
       150.0    2.558251e+05    1.213900e+04
       175.0    2.371805e+05    1.213900e+04
       200.0    2.615759e+05    1.213900e+04
       225.0    2.422475e+05    1.213900e+04
       250.0    2.455272e+05    1.213900e+04
       275.0    2.266497e+05    1.213900e+04
       300.0    2.586352e+05    1.213900e+04
       325.0    2.479486e+05    1.213900e+04
       350.0    2.561629e+05    1.213900e+04
       375.0    2.658908e+05    1.213900e+04
       400.0    2.420525e+05    1.213900e+04
       425.0    2.408116e+05    1.213900e+04
       450.0    2.590260e+05    1.213900e+04
       475.0    2.668645e+05    1.213900e+04
       500.0    2.498363e+05    1.213900e+04
       525.0    2.577510e+05    1.213900e+04
       550.0    2.680650e+05    1.213900e+04
       575.0    2.650277e+05    1.213900e+04
       600.0    2.763791e+05    1.213900e+04
       625.0    2.677767e+05    1.213900e+04
       650.0    2.544557e+05    1.213900e+04
       675.0    2.662255e+05    1.213900e+04
       700.0    2.470021e+05    1.213900e+04
       725.0    2.725293e+05    1.213900e+04
       750.0    2.380318e+05    1.213900e+04
       775.0    2.591710e+05    1.213900e+04
       800.0    2.539815e+05    1.213900e+04
       825.0    2.536087e+05    1.213900e+04
       850.0    2.495837e+05    1.213900e+04
       875.0    2.692663e+05    1.213900e+04
       900.0    2.652725e+05    1.213900e+04
       925.0    2.581404e+05    1.213900e+04
       950.0    2.605722e+05    1.213900e+04
       975.0    2.688599e+05    1.213900e+04
      1000.0    2.525828e+05    1.213900e+04
      1025.0    2.579039e+05    1.213900e+04
      1050.0    2.596528e+05    1.213900e+04
      1075.0    2.636289e+05    1.213900e+04
      1100.0    2.688777e+05    1.213900e+04
      1125.0    2.669237e+05    1.213900e+04
