# Name:    1011N-H
# y_ppm:  110.30587    0.00009
# yw_hz:   25.83846    0.21398
# y_eta:   -0.29895    0.15624
# x_ppm:    7.36711    0.00004
# xw_hz:   14.79425    0.09004
# x_eta:   -0.68888    0.04579
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -2.259630e+05    1.213900e+04
     -1800.0   -1.080306e+05    1.213900e+04
     -1775.0   -1.227121e+05    1.213900e+04
     -1750.0   -1.283787e+05    1.213900e+04
     -1725.0   -1.232181e+05    1.213900e+04
     -1700.0   -1.248544e+05    1.213900e+04
     -1675.0   -1.111776e+05    1.213900e+04
     -1650.0   -1.371560e+05    1.213900e+04
     -1625.0   -1.269614e+05    1.213900e+04
     -1600.0   -1.115483e+05    1.213900e+04
     -1575.0   -1.122016e+05    1.213900e+04
     -1550.0   -1.417332e+05    1.213900e+04
     -1525.0   -1.223703e+05    1.213900e+04
     -1500.0   -1.062077e+05    1.213900e+04
     -1475.0   -1.110850e+05    1.213900e+04
     -1450.0   -1.193530e+05    1.213900e+04
     -1425.0   -1.178011e+05    1.213900e+04
     -1400.0   -1.268113e+05    1.213900e+04
     -1375.0   -9.980821e+04    1.213900e+04
     -1350.0   -1.262493e+05    1.213900e+04
     -1325.0   -1.212959e+05    1.213900e+04
     -1300.0   -1.293818e+05    1.213900e+04
     -1275.0   -1.121652e+05    1.213900e+04
     -1250.0   -1.254075e+05    1.213900e+04
     -1225.0   -1.150091e+05    1.213900e+04
     -1200.0   -1.304295e+05    1.213900e+04
     -1175.0   -1.171888e+05    1.213900e+04
     -1150.0   -1.056848e+05    1.213900e+04
     -1125.0   -9.856610e+04    1.213900e+04
     -1100.0   -1.115540e+05    1.213900e+04
     -1075.0   -1.062867e+05    1.213900e+04
     -1050.0   -1.297274e+05    1.213900e+04
     -1025.0   -1.444628e+05    1.213900e+04
     -1000.0   -1.172112e+05    1.213900e+04
      -975.0   -1.400047e+05    1.213900e+04
      -950.0   -9.843589e+04    1.213900e+04
      -925.0   -1.069571e+05    1.213900e+04
      -900.0   -1.090974e+05    1.213900e+04
      -875.0   -1.029411e+05    1.213900e+04
      -850.0   -3.832766e+04    1.213900e+04
      -825.0    1.033852e+03    1.213900e+04
      -800.0    1.364364e+04    1.213900e+04
      -775.0   -1.049934e+04    1.213900e+04
      -750.0   -5.726015e+03    1.213900e+04
      -725.0   -5.954289e+04    1.213900e+04
      -700.0   -8.891893e+04    1.213900e+04
      -675.0   -1.035616e+05    1.213900e+04
      -650.0   -1.110176e+05    1.213900e+04
      -625.0   -1.267186e+05    1.213900e+04
      -600.0   -1.017939e+05    1.213900e+04
      -575.0   -1.074769e+05    1.213900e+04
      -550.0   -1.373547e+05    1.213900e+04
      -525.0   -1.139673e+05    1.213900e+04
      -500.0   -1.359814e+05    1.213900e+04
      -475.0   -1.368000e+05    1.213900e+04
      -450.0   -9.818719e+04    1.213900e+04
      -425.0   -1.321558e+05    1.213900e+04
      -400.0   -1.100770e+05    1.213900e+04
      -375.0   -9.645843e+04    1.213900e+04
      -350.0   -1.086441e+05    1.213900e+04
      -325.0   -1.234332e+05    1.213900e+04
      -300.0   -1.068522e+05    1.213900e+04
      -275.0   -1.023829e+05    1.213900e+04
      -250.0   -1.133762e+05    1.213900e+04
      -225.0   -1.123954e+05    1.213900e+04
      -200.0   -1.216225e+05    1.213900e+04
      -175.0   -1.125874e+05    1.213900e+04
      -150.0   -1.291924e+05    1.213900e+04
      -125.0   -1.433170e+05    1.213900e+04
      -100.0   -1.140728e+05    1.213900e+04
       -75.0   -1.154520e+05    1.213900e+04
       -50.0   -1.158186e+05    1.213900e+04
       -25.0   -1.230551e+05    1.213900e+04
         0.0   -1.235906e+05    1.213900e+04
        25.0   -1.166929e+05    1.213900e+04
        50.0   -1.303062e+05    1.213900e+04
        75.0   -1.010894e+05    1.213900e+04
       100.0   -1.133217e+05    1.213900e+04
       125.0   -1.288456e+05    1.213900e+04
       150.0   -1.469903e+05    1.213900e+04
       175.0   -1.201289e+05    1.213900e+04
       200.0   -1.203194e+05    1.213900e+04
       225.0   -1.394921e+05    1.213900e+04
       250.0   -1.213838e+05    1.213900e+04
       275.0   -1.449418e+05    1.213900e+04
       300.0   -1.440443e+05    1.213900e+04
       325.0   -1.165503e+05    1.213900e+04
       350.0   -1.302175e+05    1.213900e+04
       375.0   -1.162194e+05    1.213900e+04
       400.0   -1.140376e+05    1.213900e+04
