# Name:    1013N-H
# y_ppm:  110.19216    0.00006
# yw_hz:   25.12948    0.15350
# y_eta:    0.10120    0.07613
# x_ppm:    7.52080    0.00003
# xw_hz:   14.86114    0.07086
# x_eta:   -0.59302    0.03480
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -3.151049e+05    1.213900e+04
     -1800.0   -1.730165e+05    1.213900e+04
     -1775.0   -1.907333e+05    1.213900e+04
     -1750.0   -1.770550e+05    1.213900e+04
     -1725.0   -1.706282e+05    1.213900e+04
     -1700.0   -1.610699e+05    1.213900e+04
     -1675.0   -1.742491e+05    1.213900e+04
     -1650.0   -1.630167e+05    1.213900e+04
     -1625.0   -1.868924e+05    1.213900e+04
     -1600.0   -1.768255e+05    1.213900e+04
     -1575.0   -1.547239e+05    1.213900e+04
     -1550.0   -1.883767e+05    1.213900e+04
     -1525.0   -1.861465e+05    1.213900e+04
     -1500.0   -1.581248e+05    1.213900e+04
     -1475.0   -1.664745e+05    1.213900e+04
     -1450.0   -1.673693e+05    1.213900e+04
     -1425.0   -1.496617e+05    1.213900e+04
     -1400.0   -1.455185e+05    1.213900e+04
     -1375.0   -1.663486e+05    1.213900e+04
     -1350.0   -1.529160e+05    1.213900e+04
     -1325.0   -1.389190e+05    1.213900e+04
     -1300.0   -1.620306e+05    1.213900e+04
     -1275.0   -1.491480e+05    1.213900e+04
     -1250.0   -1.672618e+05    1.213900e+04
     -1225.0   -1.522662e+05    1.213900e+04
     -1200.0   -1.902591e+05    1.213900e+04
     -1175.0   -1.648357e+05    1.213900e+04
     -1150.0   -1.621254e+05    1.213900e+04
     -1125.0   -1.648819e+05    1.213900e+04
     -1100.0   -1.582112e+05    1.213900e+04
     -1075.0   -1.601739e+05    1.213900e+04
     -1050.0   -1.667539e+05    1.213900e+04
     -1025.0   -1.721023e+05    1.213900e+04
     -1000.0   -1.696858e+05    1.213900e+04
      -975.0   -1.250787e+05    1.213900e+04
      -950.0   -1.708551e+05    1.213900e+04
      -925.0   -1.400059e+05    1.213900e+04
      -900.0   -1.426221e+05    1.213900e+04
      -875.0   -1.329993e+05    1.213900e+04
      -850.0   -6.981355e+04    1.213900e+04
      -825.0   -1.523922e+04    1.213900e+04
      -800.0   -1.149582e+04    1.213900e+04
      -775.0    7.665926e+03    1.213900e+04
      -750.0   -7.892519e+04    1.213900e+04
      -725.0   -1.418194e+05    1.213900e+04
      -700.0   -1.390938e+05    1.213900e+04
      -675.0   -1.582081e+05    1.213900e+04
      -650.0   -1.724709e+05    1.213900e+04
      -625.0   -1.678524e+05    1.213900e+04
      -600.0   -1.738369e+05    1.213900e+04
      -575.0   -1.721747e+05    1.213900e+04
      -550.0   -1.671401e+05    1.213900e+04
      -525.0   -1.758692e+05    1.213900e+04
      -500.0   -1.705856e+05    1.213900e+04
      -475.0   -1.632027e+05    1.213900e+04
      -450.0   -1.649143e+05    1.213900e+04
      -425.0   -1.645743e+05    1.213900e+04
      -400.0   -1.714690e+05    1.213900e+04
      -375.0   -1.678449e+05    1.213900e+04
      -350.0   -1.681643e+05    1.213900e+04
      -325.0   -1.848977e+05    1.213900e+04
      -300.0   -1.679792e+05    1.213900e+04
      -275.0   -1.767575e+05    1.213900e+04
      -250.0   -1.669198e+05    1.213900e+04
      -225.0   -1.807817e+05    1.213900e+04
      -200.0   -1.700836e+05    1.213900e+04
      -175.0   -1.770975e+05    1.213900e+04
      -150.0   -1.725776e+05    1.213900e+04
      -125.0   -1.724783e+05    1.213900e+04
      -100.0   -1.716693e+05    1.213900e+04
       -75.0   -1.798770e+05    1.213900e+04
       -50.0   -1.561071e+05    1.213900e+04
       -25.0   -1.717448e+05    1.213900e+04
         0.0   -1.677665e+05    1.213900e+04
        25.0   -1.599719e+05    1.213900e+04
        50.0   -1.597833e+05    1.213900e+04
        75.0   -1.875282e+05    1.213900e+04
       100.0   -1.785841e+05    1.213900e+04
       125.0   -1.618137e+05    1.213900e+04
       150.0   -1.598101e+05    1.213900e+04
       175.0   -1.681807e+05    1.213900e+04
       200.0   -1.874275e+05    1.213900e+04
       225.0   -1.787064e+05    1.213900e+04
