# Name:     106N-H
# y_ppm:  113.13583    0.00004
# yw_hz:   20.73176    0.09314
# y_eta:    0.00943    0.05035
# x_ppm:    8.71699    0.00003
# xw_hz:   19.46669    0.08636
# x_eta:    0.00925    0.04788
#---------------------------------------------
#          Z               I           I_err
    -12000.0    3.891682e+05    1.213900e+04
     -1800.0    2.402918e+05    1.213900e+04
     -1775.0    2.589542e+05    1.213900e+04
     -1750.0    2.329609e+05    1.213900e+04
     -1725.0    2.545127e+05    1.213900e+04
     -1700.0    2.522733e+05    1.213900e+04
     -1675.0    2.502795e+05    1.213900e+04
     -1650.0    2.361223e+05    1.213900e+04
     -1625.0    2.428216e+05    1.213900e+04
     -1600.0    2.253279e+05    1.213900e+04
     -1575.0    2.637460e+05    1.213900e+04
     -1550.0    2.676751e+05    1.213900e+04
     -1525.0    2.516712e+05    1.213900e+04
     -1500.0    2.589799e+05    1.213900e+04
     -1475.0    2.513397e+05    1.213900e+04
     -1450.0    2.574170e+05    1.213900e+04
     -1425.0    2.455419e+05    1.213900e+04
     -1400.0    2.653119e+05    1.213900e+04
     -1375.0    2.467238e+05    1.213900e+04
     -1350.0    2.555058e+05    1.213900e+04
     -1325.0    2.488517e+05    1.213900e+04
     -1300.0    2.372906e+05    1.213900e+04
     -1275.0    2.750390e+05    1.213900e+04
     -1250.0    2.375635e+05    1.213900e+04
     -1225.0    2.401208e+05    1.213900e+04
     -1200.0    2.707726e+05    1.213900e+04
     -1175.0    2.517745e+05    1.213900e+04
     -1150.0    2.384033e+05    1.213900e+04
     -1125.0    2.637445e+05    1.213900e+04
     -1100.0    2.506558e+05    1.213900e+04
     -1075.0    2.515572e+05    1.213900e+04
     -1050.0    2.299406e+05    1.213900e+04
     -1025.0    2.337869e+05    1.213900e+04
     -1000.0    2.197108e+05    1.213900e+04
      -975.0    2.287911e+05    1.213900e+04
      -950.0    2.219144e+05    1.213900e+04
      -925.0    2.211168e+05    1.213900e+04
      -900.0    2.379548e+05    1.213900e+04
      -875.0    2.410651e+05    1.213900e+04
      -850.0    2.325017e+05    1.213900e+04
      -825.0    2.354675e+05    1.213900e+04
      -800.0    2.376091e+05    1.213900e+04
      -775.0    2.289007e+05    1.213900e+04
      -750.0    2.127804e+05    1.213900e+04
      -725.0    1.993673e+05    1.213900e+04
      -700.0    1.942794e+05    1.213900e+04
      -675.0    1.698124e+05    1.213900e+04
      -650.0    1.250795e+05    1.213900e+04
      -625.0    7.608448e+04    1.213900e+04
      -600.0   -1.888052e+03    1.213900e+04
      -575.0    1.189042e+04    1.213900e+04
      -550.0    5.842864e+03    1.213900e+04
      -525.0    3.522382e+04    1.213900e+04
      -500.0    4.712887e+04    1.213900e+04
      -475.0    9.520030e+04    1.213900e+04
      -450.0    1.545002e+05    1.213900e+04
      -425.0    1.526568e+05    1.213900e+04
      -400.0    1.732530e+05    1.213900e+04
      -375.0    1.798141e+05    1.213900e+04
      -350.0    1.836316e+05    1.213900e+04
      -325.0    1.910380e+05    1.213900e+04
      -300.0    1.722022e+05    1.213900e+04
      -275.0    1.745001e+05    1.213900e+04
      -250.0    1.438859e+05    1.213900e+04
      -225.0    1.410304e+05    1.213900e+04
      -200.0    1.841851e+05    1.213900e+04
      -175.0    2.034036e+05    1.213900e+04
      -150.0    2.043896e+05    1.213900e+04
      -125.0    2.480442e+05    1.213900e+04
      -100.0    2.300418e+05    1.213900e+04
       -75.0    2.495795e+05    1.213900e+04
