# Name:     115N-H
# y_ppm:  114.62293    0.00002
# yw_hz:   19.18620    0.04659
# y_eta:   -0.06976    0.01722
# x_ppm:    7.78997    0.00002
# xw_hz:   17.98439    0.04180
# x_eta:   -0.13825    0.01831
#---------------------------------------------
#          Z               I           I_err
    -12000.0    1.243135e+06    1.213900e+04
     -1800.0    7.583124e+05    1.213900e+04
     -1775.0    7.638659e+05    1.213900e+04
     -1750.0    7.803647e+05    1.213900e+04
     -1725.0    7.767327e+05    1.213900e+04
     -1700.0    7.797362e+05    1.213900e+04
     -1675.0    7.649607e+05    1.213900e+04
     -1650.0    7.782074e+05    1.213900e+04
     -1625.0    7.686142e+05    1.213900e+04
     -1600.0    7.839419e+05    1.213900e+04
     -1575.0    7.588750e+05    1.213900e+04
     -1550.0    7.900507e+05    1.213900e+04
     -1525.0    7.701517e+05    1.213900e+04
     -1500.0    7.664006e+05    1.213900e+04
     -1475.0    7.556265e+05    1.213900e+04
     -1450.0    7.675834e+05    1.213900e+04
     -1425.0    7.540376e+05    1.213900e+04
     -1400.0    7.610188e+05    1.213900e+04
     -1375.0    7.658230e+05    1.213900e+04
     -1350.0    7.738091e+05    1.213900e+04
     -1325.0    7.529436e+05    1.213900e+04
     -1300.0    7.612700e+05    1.213900e+04
     -1275.0    7.685667e+05    1.213900e+04
     -1250.0    7.606381e+05    1.213900e+04
     -1225.0    7.436121e+05    1.213900e+04
     -1200.0    7.620702e+05    1.213900e+04
     -1175.0    7.668903e+05    1.213900e+04
     -1150.0    7.512173e+05    1.213900e+04
     -1125.0    7.331635e+05    1.213900e+04
     -1100.0    7.660447e+05    1.213900e+04
     -1075.0    7.615193e+05    1.213900e+04
     -1050.0    7.528438e+05    1.213900e+04
     -1025.0    7.444133e+05    1.213900e+04
     -1000.0    7.352659e+05    1.213900e+04
      -975.0    7.408869e+05    1.213900e+04
      -950.0    7.683018e+05    1.213900e+04
      -925.0    7.501262e+05    1.213900e+04
      -900.0    7.326759e+05    1.213900e+04
      -875.0    7.480830e+05    1.213900e+04
      -850.0    7.472696e+05    1.213900e+04
      -825.0    7.493942e+05    1.213900e+04
      -800.0    7.361197e+05    1.213900e+04
      -775.0    7.476133e+05    1.213900e+04
      -750.0    7.481289e+05    1.213900e+04
      -725.0    7.251075e+05    1.213900e+04
      -700.0    7.044066e+05    1.213900e+04
      -675.0    7.002114e+05    1.213900e+04
      -650.0    6.811670e+05    1.213900e+04
      -625.0    6.577054e+05    1.213900e+04
      -600.0    6.631161e+05    1.213900e+04
      -575.0    5.931900e+05    1.213900e+04
      -550.0    5.096195e+05    1.213900e+04
      -525.0    3.939082e+05    1.213900e+04
      -500.0    2.014190e+05    1.213900e+04
      -475.0    2.939091e+04    1.213900e+04
      -450.0   -9.549632e+03    1.213900e+04
      -425.0    4.871846e+03    1.213900e+04
      -400.0    5.583182e+04    1.213900e+04
      -375.0    2.758142e+05    1.213900e+04
      -350.0    4.378650e+05    1.213900e+04
      -325.0    5.361306e+05    1.213900e+04
      -300.0    6.109727e+05    1.213900e+04
      -275.0    6.444492e+05    1.213900e+04
      -250.0    6.651980e+05    1.213900e+04
      -225.0    6.671311e+05    1.213900e+04
      -200.0    6.858984e+05    1.213900e+04
      -175.0    6.976942e+05    1.213900e+04
      -150.0    7.310695e+05    1.213900e+04
      -125.0    7.417865e+05    1.213900e+04
      -100.0    7.456470e+05    1.213900e+04
       -75.0    7.608423e+05    1.213900e+04
       -50.0    7.641156e+05    1.213900e+04
       -25.0    7.283377e+05    1.213900e+04
         0.0    7.522917e+05    1.213900e+04
        25.0    7.440573e+05    1.213900e+04
        50.0    7.547016e+05    1.213900e+04
        75.0    7.778550e+05    1.213900e+04
       100.0    7.601337e+05    1.213900e+04
       125.0    7.781868e+05    1.213900e+04
       150.0    7.617808e+05    1.213900e+04
       175.0    7.364365e+05    1.213900e+04
       200.0    7.578518e+05    1.213900e+04
       225.0    7.522997e+05    1.213900e+04
       250.0    7.929811e+05    1.213900e+04
       275.0    7.857919e+05    1.213900e+04
       300.0    7.692901e+05    1.213900e+04
       325.0    7.723157e+05    1.213900e+04
       350.0    7.653151e+05    1.213900e+04
       375.0    7.641977e+05    1.213900e+04
       400.0    7.730633e+05    1.213900e+04
       425.0    7.651680e+05    1.213900e+04
       450.0    7.777849e+05    1.213900e+04
       475.0    7.556771e+05    1.213900e+04
       500.0    7.853837e+05    1.213900e+04
       525.0    7.673606e+05    1.213900e+04
       550.0    7.772418e+05    1.213900e+04
       575.0    7.830696e+05    1.213900e+04
       600.0    7.725961e+05    1.213900e+04
       625.0    7.692012e+05    1.213900e+04
       650.0    7.644022e+05    1.213900e+04
       675.0    7.595529e+05    1.213900e+04
       700.0    7.756990e+05    1.213900e+04
       725.0    7.647354e+05    1.213900e+04
       750.0    7.378194e+05    1.213900e+04
       775.0    7.979735e+05    1.213900e+04
       800.0    7.648911e+05    1.213900e+04
       825.0    7.818708e+05    1.213900e+04
       850.0    7.738725e+05    1.213900e+04
       875.0    7.623142e+05    1.213900e+04
       900.0    7.552316e+05    1.213900e+04
       925.0    7.640381e+05    1.213900e+04
       950.0    7.695515e+05    1.213900e+04
       975.0    7.627852e+05    1.213900e+04
      1000.0    7.785451e+05    1.213900e+04
      1025.0    7.663545e+05    1.213900e+04
      1050.0    7.812304e+05    1.213900e+04
      1075.0    7.881953e+05    1.213900e+04
      1100.0    7.570526e+05    1.213900e+04
      1125.0    7.692514e+05    1.213900e+04
      1150.0    7.767458e+05    1.213900e+04
      1175.0    7.502133e+05    1.213900e+04
      1200.0    7.548258e+05    1.213900e+04
      1225.0    7.441126e+05    1.213900e+04
      1250.0    7.776971e+05    1.213900e+04
      1275.0    7.658931e+05    1.213900e+04
      1300.0    7.764943e+05    1.213900e+04
      1325.0    7.812204e+05    1.213900e+04
      1350.0    7.759194e+05    1.213900e+04
      1375.0    7.622038e+05    1.213900e+04
      1400.0    7.756024e+05    1.213900e+04
      1425.0    7.725353e+05    1.213900e+04
