# Name:     133N-H
# y_ppm:  121.92002    0.00002
# yw_hz:   20.55611    0.06416
# y_eta:    0.05359    0.02476
# x_ppm:    9.07536    0.00002
# xw_hz:   19.10060    0.05553
# x_eta:   -0.06172    0.03136
#---------------------------------------------
#          Z               I           I_err
    -12000.0    6.458953e+05    1.213900e+04
     -1800.0    3.786175e+05    1.213900e+04
     -1775.0    3.997113e+05    1.213900e+04
     -1750.0    3.926999e+05    1.213900e+04
     -1725.0    4.038085e+05    1.213900e+04
     -1700.0    3.910307e+05    1.213900e+04
     -1675.0    4.004297e+05    1.213900e+04
     -1650.0    3.811895e+05    1.213900e+04
     -1625.0    3.744928e+05    1.213900e+04
     -1600.0    4.128415e+05    1.213900e+04
     -1575.0    3.846630e+05    1.213900e+04
     -1550.0    4.014098e+05    1.213900e+04
     -1525.0    3.921330e+05    1.213900e+04
     -1500.0    4.072538e+05    1.213900e+04
     -1475.0    4.157712e+05    1.213900e+04
     -1450.0    3.855874e+05    1.213900e+04
     -1425.0    3.992665e+05    1.213900e+04
     -1400.0    4.117742e+05    1.213900e+04
     -1375.0    3.728480e+05    1.213900e+04
     -1350.0    4.060386e+05    1.213900e+04
     -1325.0    4.046037e+05    1.213900e+04
     -1300.0    4.243475e+05    1.213900e+04
     -1275.0    3.694393e+05    1.213900e+04
     -1250.0    4.125361e+05    1.213900e+04
     -1225.0    3.991789e+05    1.213900e+04
     -1200.0    3.766447e+05    1.213900e+04
     -1175.0    3.826031e+05    1.213900e+04
     -1150.0    4.007105e+05    1.213900e+04
     -1125.0    4.055467e+05    1.213900e+04
     -1100.0    3.947299e+05    1.213900e+04
     -1075.0    4.011297e+05    1.213900e+04
     -1050.0    3.998023e+05    1.213900e+04
     -1025.0    4.014279e+05    1.213900e+04
     -1000.0    3.875254e+05    1.213900e+04
      -975.0    3.882950e+05    1.213900e+04
      -950.0    4.018685e+05    1.213900e+04
      -925.0    4.183653e+05    1.213900e+04
      -900.0    4.022828e+05    1.213900e+04
      -875.0    3.904133e+05    1.213900e+04
      -850.0    3.974333e+05    1.213900e+04
      -825.0    4.022604e+05    1.213900e+04
      -800.0    3.970952e+05    1.213900e+04
      -775.0    3.967829e+05    1.213900e+04
      -750.0    4.115186e+05    1.213900e+04
      -725.0    3.771872e+05    1.213900e+04
      -700.0    3.947224e+05    1.213900e+04
      -675.0    3.874526e+05    1.213900e+04
      -650.0    4.190355e+05    1.213900e+04
      -625.0    3.918004e+05    1.213900e+04
      -600.0    4.007856e+05    1.213900e+04
      -575.0    4.184961e+05    1.213900e+04
      -550.0    3.911330e+05    1.213900e+04
      -525.0    3.891936e+05    1.213900e+04
      -500.0    3.905511e+05    1.213900e+04
      -475.0    3.927328e+05    1.213900e+04
      -450.0    3.808009e+05    1.213900e+04
      -425.0    3.890538e+05    1.213900e+04
      -400.0    3.937027e+05    1.213900e+04
      -375.0    3.810853e+05    1.213900e+04
      -350.0    4.048539e+05    1.213900e+04
      -325.0    3.897700e+05    1.213900e+04
      -300.0    4.051620e+05    1.213900e+04
      -275.0    3.880799e+05    1.213900e+04
      -250.0    4.040496e+05    1.213900e+04
      -225.0    3.738299e+05    1.213900e+04
      -200.0    4.003931e+05    1.213900e+04
      -175.0    3.925651e+05    1.213900e+04
      -150.0    3.879793e+05    1.213900e+04
      -125.0    3.709346e+05    1.213900e+04
      -100.0    3.810476e+05    1.213900e+04
       -75.0    3.634333e+05    1.213900e+04
       -50.0    3.378210e+05    1.213900e+04
       -25.0    2.907630e+05    1.213900e+04
         0.0    3.290893e+05    1.213900e+04
        25.0    2.950757e+05    1.213900e+04
        50.0    2.576239e+05    1.213900e+04
        75.0    1.259912e+05    1.213900e+04
       100.0    3.375160e+04    1.213900e+04
