# Name:    138EN-H
# y_ppm:  111.39606    0.00002
# yw_hz:   19.11102    0.05573
# y_eta:   -0.10543    0.02440
# x_ppm:   10.16939    0.00002
# xw_hz:   20.35577    0.06290
# x_eta:    0.26231    0.02018
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -7.338006e+05    1.213900e+04
     -1800.0   -4.888877e+05    1.213900e+04
     -1775.0   -5.228851e+05    1.213900e+04
     -1750.0   -5.096757e+05    1.213900e+04
     -1725.0   -5.061442e+05    1.213900e+04
     -1700.0   -5.123744e+05    1.213900e+04
     -1675.0   -4.926243e+05    1.213900e+04
     -1650.0   -4.863814e+05    1.213900e+04
     -1625.0   -4.878916e+05    1.213900e+04
     -1600.0   -5.143723e+05    1.213900e+04
     -1575.0   -4.736756e+05    1.213900e+04
     -1550.0   -4.895834e+05    1.213900e+04
     -1525.0   -5.080243e+05    1.213900e+04
     -1500.0   -5.154902e+05    1.213900e+04
     -1475.0   -5.163989e+05    1.213900e+04
     -1450.0   -5.109789e+05    1.213900e+04
     -1425.0   -5.088605e+05    1.213900e+04
     -1400.0   -5.006982e+05    1.213900e+04
     -1375.0   -4.879388e+05    1.213900e+04
     -1350.0   -5.045219e+05    1.213900e+04
     -1325.0   -4.878253e+05    1.213900e+04
     -1300.0   -5.038910e+05    1.213900e+04
     -1275.0   -4.865261e+05    1.213900e+04
     -1250.0   -4.977568e+05    1.213900e+04
     -1225.0   -4.822749e+05    1.213900e+04
     -1200.0   -5.138083e+05    1.213900e+04
     -1175.0   -5.095602e+05    1.213900e+04
     -1150.0   -4.892949e+05    1.213900e+04
     -1125.0   -4.856523e+05    1.213900e+04
     -1100.0   -4.908573e+05    1.213900e+04
     -1075.0   -5.065805e+05    1.213900e+04
     -1050.0   -5.067780e+05    1.213900e+04
     -1025.0   -4.796623e+05    1.213900e+04
     -1000.0   -5.033838e+05    1.213900e+04
      -975.0   -4.995278e+05    1.213900e+04
      -950.0   -5.072668e+05    1.213900e+04
      -925.0   -4.987115e+05    1.213900e+04
      -900.0   -5.025209e+05    1.213900e+04
      -875.0   -5.043781e+05    1.213900e+04
      -850.0   -4.914488e+05    1.213900e+04
      -825.0   -4.886653e+05    1.213900e+04
      -800.0   -4.784073e+05    1.213900e+04
      -775.0   -4.983113e+05    1.213900e+04
      -750.0   -5.156820e+05    1.213900e+04
      -725.0   -4.708244e+05    1.213900e+04
      -700.0   -4.976942e+05    1.213900e+04
      -675.0   -4.905555e+05    1.213900e+04
      -650.0   -5.069103e+05    1.213900e+04
      -625.0   -5.047066e+05    1.213900e+04
      -600.0   -4.674490e+05    1.213900e+04
      -575.0   -5.055562e+05    1.213900e+04
      -550.0   -5.136586e+05    1.213900e+04
