# Name:     150N-H
# y_ppm:  120.37357    0.00004
# yw_hz:   20.26978    0.09754
# y_eta:   -0.03843    0.05161
# x_ppm:    9.64837    0.00004
# xw_hz:   19.74888    0.09710
# x_eta:    0.11762    0.05305
#---------------------------------------------
#          Z               I           I_err
    -12000.0    3.898807e+05    1.213900e+04
     -1800.0    2.418160e+05    1.213900e+04
     -1775.0    2.235959e+05    1.213900e+04
     -1750.0    2.518134e+05    1.213900e+04
     -1725.0    2.409374e+05    1.213900e+04
     -1700.0    2.396397e+05    1.213900e+04
     -1675.0    2.333618e+05    1.213900e+04
     -1650.0    2.343775e+05    1.213900e+04
     -1625.0    2.478670e+05    1.213900e+04
     -1600.0    2.443644e+05    1.213900e+04
     -1575.0    2.467923e+05    1.213900e+04
     -1550.0    2.365259e+05    1.213900e+04
     -1525.0    2.256009e+05    1.213900e+04
     -1500.0    2.383389e+05    1.213900e+04
     -1475.0    2.391666e+05    1.213900e+04
     -1450.0    2.175828e+05    1.213900e+04
     -1425.0    2.180052e+05    1.213900e+04
     -1400.0    2.295272e+05    1.213900e+04
     -1375.0    2.584568e+05    1.213900e+04
     -1350.0    2.601119e+05    1.213900e+04
     -1325.0    2.475329e+05    1.213900e+04
     -1300.0    2.281189e+05    1.213900e+04
     -1275.0    2.576589e+05    1.213900e+04
     -1250.0    2.462349e+05    1.213900e+04
     -1225.0    2.344403e+05    1.213900e+04
     -1200.0    2.327279e+05    1.213900e+04
     -1175.0    2.326254e+05    1.213900e+04
     -1150.0    2.380345e+05    1.213900e+04
     -1125.0    2.167907e+05    1.213900e+04
     -1100.0    2.435723e+05    1.213900e+04
     -1075.0    2.577430e+05    1.213900e+04
     -1050.0    2.463283e+05    1.213900e+04
     -1025.0    2.345945e+05    1.213900e+04
     -1000.0    2.480045e+05    1.213900e+04
      -975.0    2.473697e+05    1.213900e+04
      -950.0    2.347207e+05    1.213900e+04
      -925.0    2.524061e+05    1.213900e+04
      -900.0    2.389178e+05    1.213900e+04
      -875.0    2.457073e+05    1.213900e+04
      -850.0    2.296305e+05    1.213900e+04
      -825.0    2.598344e+05    1.213900e+04
      -800.0    2.536176e+05    1.213900e+04
      -775.0    2.534116e+05    1.213900e+04
      -750.0    2.540202e+05    1.213900e+04
      -725.0    2.382714e+05    1.213900e+04
      -700.0    2.356947e+05    1.213900e+04
      -675.0    2.573818e+05    1.213900e+04
      -650.0    2.370852e+05    1.213900e+04
      -625.0    2.489154e+05    1.213900e+04
      -600.0    2.332128e+05    1.213900e+04
      -575.0    2.462320e+05    1.213900e+04
      -550.0    2.330645e+05    1.213900e+04
      -525.0    2.392720e+05    1.213900e+04
      -500.0    2.369634e+05    1.213900e+04
      -475.0    2.465352e+05    1.213900e+04
      -450.0    2.570618e+05    1.213900e+04
      -425.0    2.231072e+05    1.213900e+04
      -400.0    2.402863e+05    1.213900e+04
      -375.0    2.679154e+05    1.213900e+04
      -350.0    2.162705e+05    1.213900e+04
      -325.0    2.515827e+05    1.213900e+04
      -300.0    2.208043e+05    1.213900e+04
      -275.0    2.314449e+05    1.213900e+04
      -250.0    2.438523e+05    1.213900e+04
      -225.0    2.221125e+05    1.213900e+04
      -200.0    2.256620e+05    1.213900e+04
      -175.0    2.139139e+05    1.213900e+04
      -150.0    2.001429e+05    1.213900e+04
      -125.0    1.752391e+05    1.213900e+04
      -100.0    1.778657e+05    1.213900e+04
       -75.0    1.531986e+05    1.213900e+04
       -50.0    8.050647e+04    1.213900e+04
       -25.0    3.452044e+04    1.213900e+04
         0.0    9.143334e+02    1.213900e+04
        25.0   -1.817189e+03    1.213900e+04
        50.0   -1.410923e+04    1.213900e+04
        75.0   -8.278197e+02    1.213900e+04
       100.0    5.084786e+04    1.213900e+04
       125.0    1.143412e+05    1.213900e+04
       150.0    1.576272e+05    1.213900e+04
       175.0    1.780451e+05    1.213900e+04
       200.0    2.040176e+05    1.213900e+04
       225.0    2.067131e+05    1.213900e+04
       250.0    2.229361e+05    1.213900e+04
       275.0    2.181727e+05    1.213900e+04
