# Name:      25N-H
# y_ppm:  123.52348    0.00003
# yw_hz:   20.02711    0.08008
# y_eta:    0.00994    0.03065
# x_ppm:    8.84429    0.00002
# xw_hz:   18.33885    0.06569
# x_eta:   -0.33070    0.03037
#---------------------------------------------
#          Z               I           I_err
    -12000.0    9.431487e+05    1.213900e+04
     -1800.0    5.764917e+05    1.213900e+04
     -1775.0    5.728529e+05    1.213900e+04
     -1750.0    5.753569e+05    1.213900e+04
     -1725.0    5.610554e+05    1.213900e+04
     -1700.0    5.747571e+05    1.213900e+04
     -1675.0    5.527148e+05    1.213900e+04
     -1650.0    5.769994e+05    1.213900e+04
     -1625.0    5.726525e+05    1.213900e+04
     -1600.0    5.607791e+05    1.213900e+04
     -1575.0    5.887362e+05    1.213900e+04
     -1550.0    5.782260e+05    1.213900e+04
     -1525.0    6.056952e+05    1.213900e+04
     -1500.0    5.705033e+05    1.213900e+04
     -1475.0    5.474465e+05    1.213900e+04
     -1450.0    5.799451e+05    1.213900e+04
     -1425.0    5.858377e+05    1.213900e+04
     -1400.0    5.697804e+05    1.213900e+04
     -1375.0    5.962231e+05    1.213900e+04
     -1350.0    5.570605e+05    1.213900e+04
     -1325.0    5.569601e+05    1.213900e+04
     -1300.0    5.637003e+05    1.213900e+04
     -1275.0    5.931212e+05    1.213900e+04
     -1250.0    5.662110e+05    1.213900e+04
     -1225.0    6.007419e+05    1.213900e+04
     -1200.0    5.630184e+05    1.213900e+04
     -1175.0    5.730668e+05    1.213900e+04
     -1150.0    5.840854e+05    1.213900e+04
     -1125.0    5.685180e+05    1.213900e+04
     -1100.0    5.665679e+05    1.213900e+04
     -1075.0    5.828646e+05    1.213900e+04
     -1050.0    5.822746e+05    1.213900e+04
     -1025.0    5.881455e+05    1.213900e+04
     -1000.0    5.727951e+05    1.213900e+04
      -975.0    5.949988e+05    1.213900e+04
      -950.0    5.771902e+05    1.213900e+04
      -925.0    5.663926e+05    1.213900e+04
      -900.0    5.699840e+05    1.213900e+04
      -875.0    5.716737e+05    1.213900e+04
      -850.0    5.650042e+05    1.213900e+04
      -825.0    5.626775e+05    1.213900e+04
      -800.0    5.437427e+05    1.213900e+04
      -775.0    5.618022e+05    1.213900e+04
      -750.0    5.718345e+05    1.213900e+04
      -725.0    5.808093e+05    1.213900e+04
      -700.0    5.856565e+05    1.213900e+04
      -675.0    5.771673e+05    1.213900e+04
      -650.0    5.661272e+05    1.213900e+04
      -625.0    5.645174e+05    1.213900e+04
      -600.0    5.682205e+05    1.213900e+04
      -575.0    5.758503e+05    1.213900e+04
      -550.0    5.712840e+05    1.213900e+04
      -525.0    5.888335e+05    1.213900e+04
      -500.0    5.630644e+05    1.213900e+04
      -475.0    5.666567e+05    1.213900e+04
      -450.0    5.892743e+05    1.213900e+04
      -425.0    5.774911e+05    1.213900e+04
      -400.0    5.742190e+05    1.213900e+04
      -375.0    5.882669e+05    1.213900e+04
      -350.0    5.886639e+05    1.213900e+04
      -325.0    5.861478e+05    1.213900e+04
      -300.0    5.769838e+05    1.213900e+04
      -275.0    5.550146e+05    1.213900e+04
      -250.0    5.780172e+05    1.213900e+04
      -225.0    5.568985e+05    1.213900e+04
      -200.0    5.372291e+05    1.213900e+04
      -175.0    5.756823e+05    1.213900e+04
