# Name:      29N-H
# y_ppm:  129.95189    0.00003
# yw_hz:   20.92208    0.09353
# y_eta:    0.10038    0.04110
# x_ppm:    9.53862    0.00004
# xw_hz:   21.58866    0.09710
# x_eta:    0.22476    0.05793
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -4.396366e+05    1.213900e+04
     -1800.0   -2.774944e+05    1.213900e+04
     -1775.0   -2.640838e+05    1.213900e+04
     -1750.0   -2.779365e+05    1.213900e+04
     -1725.0   -2.722394e+05    1.213900e+04
     -1700.0   -2.791230e+05    1.213900e+04
     -1675.0   -2.917377e+05    1.213900e+04
     -1650.0   -2.715193e+05    1.213900e+04
     -1625.0   -2.776644e+05    1.213900e+04
     -1600.0   -2.884553e+05    1.213900e+04
     -1575.0   -2.863052e+05    1.213900e+04
     -1550.0   -2.944854e+05    1.213900e+04
     -1525.0   -2.925331e+05    1.213900e+04
     -1500.0   -2.784239e+05    1.213900e+04
     -1475.0   -2.837277e+05    1.213900e+04
     -1450.0   -2.928402e+05    1.213900e+04
     -1425.0   -2.727686e+05    1.213900e+04
     -1400.0   -2.875625e+05    1.213900e+04
     -1375.0   -2.946836e+05    1.213900e+04
     -1350.0   -2.611886e+05    1.213900e+04
     -1325.0   -2.778050e+05    1.213900e+04
     -1300.0   -2.985000e+05    1.213900e+04
     -1275.0   -2.624201e+05    1.213900e+04
     -1250.0   -2.758582e+05    1.213900e+04
     -1225.0   -2.687237e+05    1.213900e+04
     -1200.0   -3.060376e+05    1.213900e+04
     -1175.0   -2.746501e+05    1.213900e+04
     -1150.0   -2.860229e+05    1.213900e+04
     -1125.0   -2.659159e+05    1.213900e+04
     -1100.0   -2.952161e+05    1.213900e+04
     -1075.0   -2.882984e+05    1.213900e+04
     -1050.0   -2.816427e+05    1.213900e+04
     -1025.0   -2.858266e+05    1.213900e+04
     -1000.0   -2.817782e+05    1.213900e+04
      -975.0   -2.852635e+05    1.213900e+04
      -950.0   -2.670035e+05    1.213900e+04
      -925.0   -2.923707e+05    1.213900e+04
      -900.0   -2.836305e+05    1.213900e+04
      -875.0   -2.696654e+05    1.213900e+04
      -850.0   -2.730310e+05    1.213900e+04
      -825.0   -2.934596e+05    1.213900e+04
      -800.0   -2.852178e+05    1.213900e+04
      -775.0   -2.825950e+05    1.213900e+04
      -750.0   -2.749231e+05    1.213900e+04
      -725.0   -2.538251e+05    1.213900e+04
      -700.0   -2.652425e+05    1.213900e+04
      -675.0   -2.753206e+05    1.213900e+04
      -650.0   -2.639054e+05    1.213900e+04
      -625.0   -2.618880e+05    1.213900e+04
      -600.0   -2.890651e+05    1.213900e+04
      -575.0   -2.980302e+05    1.213900e+04
      -550.0   -2.650890e+05    1.213900e+04
      -525.0   -2.706649e+05    1.213900e+04
      -500.0   -2.861137e+05    1.213900e+04
      -475.0   -2.836708e+05    1.213900e+04
      -450.0   -2.669776e+05    1.213900e+04
      -425.0   -2.897310e+05    1.213900e+04
      -400.0   -2.725703e+05    1.213900e+04
      -375.0   -2.991041e+05    1.213900e+04
      -350.0   -2.732937e+05    1.213900e+04
      -325.0   -2.849953e+05    1.213900e+04
      -300.0   -2.776467e+05    1.213900e+04
      -275.0   -2.944415e+05    1.213900e+04
      -250.0   -2.846470e+05    1.213900e+04
      -225.0   -2.933779e+05    1.213900e+04
      -200.0   -2.911568e+05    1.213900e+04
      -175.0   -2.827474e+05    1.213900e+04
      -150.0   -2.779998e+05    1.213900e+04
      -125.0   -2.859092e+05    1.213900e+04
      -100.0   -2.648734e+05    1.213900e+04
       -75.0   -2.788893e+05    1.213900e+04
       -50.0   -2.769799e+05    1.213900e+04
       -25.0   -2.866113e+05    1.213900e+04
         0.0   -2.670911e+05    1.213900e+04
        25.0   -2.855270e+05    1.213900e+04
        50.0   -2.647841e+05    1.213900e+04
        75.0   -2.786966e+05    1.213900e+04
       100.0   -2.838866e+05    1.213900e+04
       125.0   -2.902651e+05    1.213900e+04
       150.0   -2.767436e+05    1.213900e+04
       175.0   -2.954457e+05    1.213900e+04
       200.0   -2.613313e+05    1.213900e+04
       225.0   -2.785824e+05    1.213900e+04
       250.0   -2.706711e+05    1.213900e+04
       275.0   -2.706908e+05    1.213900e+04
       300.0   -2.920315e+05    1.213900e+04
       325.0   -2.868875e+05    1.213900e+04
       350.0   -2.712155e+05    1.213900e+04
       375.0   -2.971620e+05    1.213900e+04
       400.0   -2.928837e+05    1.213900e+04
       425.0   -2.714087e+05    1.213900e+04
       450.0   -2.726569e+05    1.213900e+04
       475.0   -2.657296e+05    1.213900e+04
       500.0   -2.683767e+05    1.213900e+04
       525.0   -2.793082e+05    1.213900e+04
       550.0   -2.615829e+05    1.213900e+04
       575.0   -2.484543e+05    1.213900e+04
       600.0   -2.619363e+05    1.213900e+04
       625.0   -2.397545e+05    1.213900e+04
       650.0   -2.410799e+05    1.213900e+04
       675.0   -2.082171e+05    1.213900e+04
       700.0   -1.599101e+05    1.213900e+04
       725.0   -9.696734e+04    1.213900e+04
       750.0   -5.179855e+04    1.213900e+04
       775.0    1.678922e+04    1.213900e+04
