# Name:      38N-H
# y_ppm:  116.47817    0.00001
# yw_hz:   17.80450    0.03917
# y_eta:   -0.18518    0.02012
# x_ppm:    8.28838    0.00001
# xw_hz:   16.28111    0.02792
# x_eta:   -0.66758    0.01220
#---------------------------------------------
#          Z               I           I_err
    -12000.0    2.091086e+06    1.213900e+04
     -1800.0    1.150322e+06    1.213900e+04
     -1775.0    1.117508e+06    1.213900e+04
     -1750.0    1.127404e+06    1.213900e+04
     -1725.0    1.132214e+06    1.213900e+04
     -1700.0    1.151365e+06    1.213900e+04
     -1675.0    1.135320e+06    1.213900e+04
     -1650.0    1.139976e+06    1.213900e+04
     -1625.0    1.136393e+06    1.213900e+04
     -1600.0    1.142770e+06    1.213900e+04
     -1575.0    1.133385e+06    1.213900e+04
     -1550.0    1.128617e+06    1.213900e+04
     -1525.0    1.129404e+06    1.213900e+04
     -1500.0    1.117720e+06    1.213900e+04
     -1475.0    1.128922e+06    1.213900e+04
     -1450.0    1.130884e+06    1.213900e+04
     -1425.0    1.117821e+06    1.213900e+04
     -1400.0    1.133811e+06    1.213900e+04
     -1375.0    1.120710e+06    1.213900e+04
     -1350.0    1.124313e+06    1.213900e+04
     -1325.0    1.130966e+06    1.213900e+04
     -1300.0    1.156798e+06    1.213900e+04
     -1275.0    1.126877e+06    1.213900e+04
     -1250.0    1.131548e+06    1.213900e+04
     -1225.0    1.124199e+06    1.213900e+04
     -1200.0    1.142403e+06    1.213900e+04
     -1175.0    1.140135e+06    1.213900e+04
     -1150.0    1.117287e+06    1.213900e+04
     -1125.0    1.130946e+06    1.213900e+04
     -1100.0    1.121462e+06    1.213900e+04
     -1075.0    1.111035e+06    1.213900e+04
     -1050.0    1.103781e+06    1.213900e+04
     -1025.0    1.124733e+06    1.213900e+04
     -1000.0    1.123215e+06    1.213900e+04
      -975.0    1.117780e+06    1.213900e+04
      -950.0    1.107252e+06    1.213900e+04
      -925.0    1.093666e+06    1.213900e+04
      -900.0    1.107698e+06    1.213900e+04
      -875.0    1.101999e+06    1.213900e+04
      -850.0    1.094756e+06    1.213900e+04
      -825.0    1.131906e+06    1.213900e+04
      -800.0    1.111890e+06    1.213900e+04
      -775.0    1.100474e+06    1.213900e+04
      -750.0    1.125674e+06    1.213900e+04
      -725.0    1.098423e+06    1.213900e+04
      -700.0    1.080798e+06    1.213900e+04
      -675.0    1.116077e+06    1.213900e+04
      -650.0    1.092246e+06    1.213900e+04
      -625.0    1.089780e+06    1.213900e+04
      -600.0    1.075474e+06    1.213900e+04
      -575.0    1.070304e+06    1.213900e+04
      -550.0    1.062881e+06    1.213900e+04
      -525.0    1.077833e+06    1.213900e+04
      -500.0    1.040304e+06    1.213900e+04
      -475.0    1.018154e+06    1.213900e+04
      -450.0    9.784549e+05    1.213900e+04
      -425.0    9.309149e+05    1.213900e+04
      -400.0    8.317490e+05    1.213900e+04
      -375.0    7.228651e+05    1.213900e+04
      -350.0    4.697918e+05    1.213900e+04
      -325.0    1.119952e+05    1.213900e+04
      -300.0    1.470965e+04    1.213900e+04
      -275.0   -5.642610e+03    1.213900e+04
      -250.0    1.588865e+05    1.213900e+04
      -225.0    4.798847e+05    1.213900e+04
      -200.0    7.621248e+05    1.213900e+04
      -175.0    8.795851e+05    1.213900e+04
      -150.0    9.389792e+05    1.213900e+04
      -125.0    9.950236e+05    1.213900e+04
      -100.0    1.016428e+06    1.213900e+04
       -75.0    1.042986e+06    1.213900e+04
       -50.0    1.062221e+06    1.213900e+04
       -25.0    1.059755e+06    1.213900e+04
         0.0    1.070613e+06    1.213900e+04
        25.0    1.093512e+06    1.213900e+04
        50.0    1.062778e+06    1.213900e+04
        75.0    1.093287e+06    1.213900e+04
       100.0    1.116059e+06    1.213900e+04
       125.0    1.115633e+06    1.213900e+04
       150.0    1.097944e+06    1.213900e+04
       175.0    1.119420e+06    1.213900e+04
       200.0    1.094498e+06    1.213900e+04
       225.0    1.129031e+06    1.213900e+04
       250.0    1.109611e+06    1.213900e+04
       275.0    1.126771e+06    1.213900e+04
       300.0    1.131351e+06    1.213900e+04
       325.0    1.117305e+06    1.213900e+04
       350.0    1.094926e+06    1.213900e+04
       375.0    1.100535e+06    1.213900e+04
       400.0    1.118718e+06    1.213900e+04
       425.0    1.117359e+06    1.213900e+04
       450.0    1.121561e+06    1.213900e+04
       475.0    1.117228e+06    1.213900e+04
       500.0    1.124497e+06    1.213900e+04
       525.0    1.143552e+06    1.213900e+04
       550.0    1.131809e+06    1.213900e+04
       575.0    1.144575e+06    1.213900e+04
       600.0    1.138619e+06    1.213900e+04
       625.0    1.127872e+06    1.213900e+04
       650.0    1.133015e+06    1.213900e+04
       675.0    1.121249e+06    1.213900e+04
       700.0    1.140777e+06    1.213900e+04
       725.0    1.114636e+06    1.213900e+04
       750.0    1.132694e+06    1.213900e+04
       775.0    1.112510e+06    1.213900e+04
       800.0    1.155935e+06    1.213900e+04
       825.0    1.128813e+06    1.213900e+04
       850.0    1.103596e+06    1.213900e+04
       875.0    1.141495e+06    1.213900e+04
       900.0    1.133801e+06    1.213900e+04
       925.0    1.129828e+06    1.213900e+04
       950.0    1.124053e+06    1.213900e+04
       975.0    1.155171e+06    1.213900e+04
      1000.0    1.131714e+06    1.213900e+04
      1025.0    1.119576e+06    1.213900e+04
      1050.0    1.120247e+06    1.213900e+04
      1075.0    1.147623e+06    1.213900e+04
      1100.0    1.144493e+06    1.213900e+04
      1125.0    1.153095e+06    1.213900e+04
      1150.0    1.119856e+06    1.213900e+04
      1175.0    1.145351e+06    1.213900e+04
      1200.0    1.133735e+06    1.213900e+04
      1225.0    1.122300e+06    1.213900e+04
      1250.0    1.119502e+06    1.213900e+04
      1275.0    1.124266e+06    1.213900e+04
      1300.0    1.133796e+06    1.213900e+04
      1325.0    1.117168e+06    1.213900e+04
      1350.0    1.128222e+06    1.213900e+04
      1375.0    1.136581e+06    1.213900e+04
      1400.0    1.111034e+06    1.213900e+04
      1425.0    1.127449e+06    1.213900e+04
