# Name:       5N-H
# y_ppm:  117.74588    0.00025
# yw_hz:   18.54251    0.23872
# y_eta:    0.41045    0.02996
# x_ppm:    8.03724    0.00012
# xw_hz:   18.61670    0.14700
# x_eta:   -0.01874    0.03483
#---------------------------------------------
#          Z               I           I_err
    -12000.0    5.319366e+05    1.213900e+04
     -1800.0    2.723602e+05    1.213900e+04
     -1775.0    3.166853e+05    1.213900e+04
     -1750.0    2.698809e+05    1.213900e+04
     -1725.0    3.203313e+05    1.213900e+04
     -1700.0    3.327350e+05    1.213900e+04
     -1675.0    2.634158e+05    1.213900e+04
     -1650.0    2.843595e+05    1.213900e+04
     -1625.0    2.666621e+05    1.213900e+04
     -1600.0    2.784889e+05    1.213900e+04
     -1575.0    3.252849e+05    1.213900e+04
     -1550.0    3.015352e+05    1.213900e+04
     -1525.0    2.695823e+05    1.213900e+04
     -1500.0    2.947368e+05    1.213900e+04
     -1475.0    2.956110e+05    1.213900e+04
     -1450.0    3.214599e+05    1.213900e+04
     -1425.0    3.240000e+05    1.213900e+04
     -1400.0    2.913434e+05    1.213900e+04
     -1375.0    3.123380e+05    1.213900e+04
     -1350.0    2.712808e+05    1.213900e+04
     -1325.0    3.430927e+05    1.213900e+04
     -1300.0    2.917767e+05    1.213900e+04
     -1275.0    2.770273e+05    1.213900e+04
     -1250.0    2.717167e+05    1.213900e+04
     -1225.0    3.131488e+05    1.213900e+04
     -1200.0    2.625827e+05    1.213900e+04
     -1175.0    3.216138e+05    1.213900e+04
     -1150.0    3.008051e+05    1.213900e+04
     -1125.0    2.723880e+05    1.213900e+04
     -1100.0    3.140394e+05    1.213900e+04
     -1075.0    3.082587e+05    1.213900e+04
     -1050.0    2.659405e+05    1.213900e+04
     -1025.0    2.699350e+05    1.213900e+04
     -1000.0    3.053528e+05    1.213900e+04
      -975.0    3.363908e+05    1.213900e+04
      -950.0    2.886159e+05    1.213900e+04
      -925.0    2.670664e+05    1.213900e+04
      -900.0    3.240436e+05    1.213900e+04
      -875.0    2.923697e+05    1.213900e+04
      -850.0    2.783547e+05    1.213900e+04
      -825.0    2.709168e+05    1.213900e+04
      -800.0    2.565732e+05    1.213900e+04
      -775.0    2.791695e+05    1.213900e+04
      -750.0    3.166655e+05    1.213900e+04
      -725.0    2.987153e+05    1.213900e+04
      -700.0    2.923114e+05    1.213900e+04
      -675.0    2.800129e+05    1.213900e+04
      -650.0    2.867528e+05    1.213900e+04
      -625.0    2.799000e+05    1.213900e+04
      -600.0    3.275572e+05    1.213900e+04
      -575.0    3.105839e+05    1.213900e+04
      -550.0    3.321526e+05    1.213900e+04
      -525.0    2.870574e+05    1.213900e+04
      -500.0    2.857928e+05    1.213900e+04
      -475.0    2.800686e+05    1.213900e+04
      -450.0    2.832133e+05    1.213900e+04
      -425.0    2.304405e+05    1.213900e+04
      -400.0    2.377201e+05    1.213900e+04
      -375.0    2.435257e+05    1.213900e+04
      -350.0    2.668176e+05    1.213900e+04
      -325.0    2.351787e+05    1.213900e+04
      -300.0    1.863226e+05    1.213900e+04
      -275.0    1.631038e+05    1.213900e+04
      -250.0    4.486575e+04    1.213900e+04
      -225.0    3.238257e+04    1.213900e+04
      -200.0   -8.037074e+03    1.213900e+04
      -175.0   -9.501347e+03    1.213900e+04
      -150.0    5.362741e+03    1.213900e+04
      -125.0    1.118107e+05    1.213900e+04
      -100.0    1.418641e+05    1.213900e+04
       -75.0    2.063573e+05    1.213900e+04
       -50.0    1.790442e+05    1.213900e+04
       -25.0    2.142702e+05    1.213900e+04
         0.0    2.591967e+05    1.213900e+04
        25.0    2.864217e+05    1.213900e+04
        50.0    2.557898e+05    1.213900e+04
        75.0    3.266833e+05    1.213900e+04
       100.0    2.565896e+05    1.213900e+04
       125.0    2.931343e+05    1.213900e+04
       150.0    2.814170e+05    1.213900e+04
       175.0    2.447713e+05    1.213900e+04
       200.0    3.003661e+05    1.213900e+04
       225.0    3.054542e+05    1.213900e+04
       250.0    3.255190e+05    1.213900e+04
       275.0    2.471842e+05    1.213900e+04
       300.0    2.869691e+05    1.213900e+04
       325.0    3.097423e+05    1.213900e+04
       350.0    2.816962e+05    1.213900e+04
       375.0    2.422725e+05    1.213900e+04
       400.0    3.139411e+05    1.213900e+04
       425.0    3.080970e+05    1.213900e+04
       450.0    3.161528e+05    1.213900e+04
       475.0    2.911400e+05    1.213900e+04
       500.0    2.744013e+05    1.213900e+04
       525.0    2.718190e+05    1.213900e+04
       550.0    2.516112e+05    1.213900e+04
       575.0    2.888647e+05    1.213900e+04
       600.0    3.209247e+05    1.213900e+04
       625.0    2.907528e+05    1.213900e+04
       650.0    3.300822e+05    1.213900e+04
       675.0    3.000774e+05    1.213900e+04
       700.0    3.053256e+05    1.213900e+04
       725.0    3.142132e+05    1.213900e+04
       750.0    3.081923e+05    1.213900e+04
       775.0    2.782040e+05    1.213900e+04
       800.0    2.927821e+05    1.213900e+04
       825.0    3.279964e+05    1.213900e+04
       850.0    2.718519e+05    1.213900e+04
       875.0    3.040084e+05    1.213900e+04
       900.0    3.040658e+05    1.213900e+04
       925.0    2.737760e+05    1.213900e+04
       950.0    3.215602e+05    1.213900e+04
       975.0    2.979091e+05    1.213900e+04
      1000.0    2.987348e+05    1.213900e+04
      1025.0    2.527769e+05    1.213900e+04
      1050.0    3.011521e+05    1.213900e+04
      1075.0    2.866126e+05    1.213900e+04
      1100.0    2.479164e+05    1.213900e+04
      1125.0    3.227130e+05    1.213900e+04
      1150.0    2.956222e+05    1.213900e+04
      1175.0    3.062082e+05    1.213900e+04
