# Name:       6N-H
# y_ppm:  118.46300    0.00003
# yw_hz:   20.50386    0.09035
# y_eta:   -0.06279    0.05381
# x_ppm:    7.76487    0.00003
# xw_hz:   19.63673    0.08825
# x_eta:   -0.04884    0.04569
#---------------------------------------------
#          Z               I           I_err
    -12000.0    4.138978e+05    1.213900e+04
     -1800.0    2.465868e+05    1.213900e+04
     -1775.0    2.522610e+05    1.213900e+04
     -1750.0    2.569081e+05    1.213900e+04
     -1725.0    2.368550e+05    1.213900e+04
     -1700.0    2.492366e+05    1.213900e+04
     -1675.0    2.485647e+05    1.213900e+04
     -1650.0    2.507725e+05    1.213900e+04
     -1625.0    2.460918e+05    1.213900e+04
     -1600.0    2.468794e+05    1.213900e+04
     -1575.0    2.479110e+05    1.213900e+04
     -1550.0    2.461119e+05    1.213900e+04
     -1525.0    2.435374e+05    1.213900e+04
     -1500.0    2.483172e+05    1.213900e+04
     -1475.0    2.595730e+05    1.213900e+04
     -1450.0    2.464457e+05    1.213900e+04
     -1425.0    2.358601e+05    1.213900e+04
     -1400.0    2.488249e+05    1.213900e+04
     -1375.0    2.247898e+05    1.213900e+04
     -1350.0    2.601915e+05    1.213900e+04
     -1325.0    2.582752e+05    1.213900e+04
     -1300.0    2.567904e+05    1.213900e+04
     -1275.0    2.288806e+05    1.213900e+04
     -1250.0    2.476049e+05    1.213900e+04
     -1225.0    2.460792e+05    1.213900e+04
     -1200.0    2.654099e+05    1.213900e+04
     -1175.0    2.744245e+05    1.213900e+04
     -1150.0    2.507610e+05    1.213900e+04
     -1125.0    2.563203e+05    1.213900e+04
     -1100.0    2.508830e+05    1.213900e+04
     -1075.0    2.386090e+05    1.213900e+04
     -1050.0    2.371492e+05    1.213900e+04
     -1025.0    2.492712e+05    1.213900e+04
     -1000.0    2.120255e+05    1.213900e+04
      -975.0    2.355301e+05    1.213900e+04
      -950.0    2.872487e+05    1.213900e+04
      -925.0    2.438057e+05    1.213900e+04
      -900.0    2.447781e+05    1.213900e+04
      -875.0    2.485841e+05    1.213900e+04
      -850.0    2.569967e+05    1.213900e+04
      -825.0    2.554939e+05    1.213900e+04
      -800.0    2.600770e+05    1.213900e+04
      -775.0    2.557291e+05    1.213900e+04
      -750.0    2.482811e+05    1.213900e+04
      -725.0    2.475999e+05    1.213900e+04
      -700.0    2.452699e+05    1.213900e+04
      -675.0    2.550910e+05    1.213900e+04
      -650.0    2.492426e+05    1.213900e+04
      -625.0    2.440304e+05    1.213900e+04
      -600.0    2.414657e+05    1.213900e+04
      -575.0    2.603436e+05    1.213900e+04
      -550.0    2.471094e+05    1.213900e+04
      -525.0    2.405534e+05    1.213900e+04
      -500.0    2.414033e+05    1.213900e+04
      -475.0    2.236206e+05    1.213900e+04
      -450.0    2.109904e+05    1.213900e+04
      -425.0    2.334259e+05    1.213900e+04
      -400.0    2.312474e+05    1.213900e+04
      -375.0    2.284296e+05    1.213900e+04
      -350.0    2.213086e+05    1.213900e+04
      -325.0    2.392692e+05    1.213900e+04
      -300.0    2.008177e+05    1.213900e+04
      -275.0    1.864945e+05    1.213900e+04
      -250.0    1.856906e+05    1.213900e+04
      -225.0    1.400284e+05    1.213900e+04
      -200.0    8.327411e+04    1.213900e+04
      -175.0    3.596764e+04    1.213900e+04
      -150.0   -1.702144e+03    1.213900e+04
      -125.0   -2.388107e+03    1.213900e+04
      -100.0   -3.603144e+02    1.213900e+04
       -75.0    4.683431e+04    1.213900e+04
       -50.0    1.008491e+05    1.213900e+04
       -25.0    1.409162e+05    1.213900e+04
         0.0    1.796858e+05    1.213900e+04
        25.0    1.882871e+05    1.213900e+04
        50.0    2.293315e+05    1.213900e+04
        75.0    1.998610e+05    1.213900e+04
       100.0    2.379053e+05    1.213900e+04
       125.0    2.327955e+05    1.213900e+04
       150.0    2.388793e+05    1.213900e+04
       175.0    2.317731e+05    1.213900e+04
       200.0    2.555673e+05    1.213900e+04
       225.0    2.596659e+05    1.213900e+04
       250.0    2.363149e+05    1.213900e+04
       275.0    2.444323e+05    1.213900e+04
       300.0    2.453652e+05    1.213900e+04
       325.0    2.483892e+05    1.213900e+04
       350.0    2.530045e+05    1.213900e+04
       375.0    2.525912e+05    1.213900e+04
       400.0    2.376881e+05    1.213900e+04
       425.0    2.464887e+05    1.213900e+04
       450.0    2.690460e+05    1.213900e+04
       475.0    2.448263e+05    1.213900e+04
       500.0    2.400796e+05    1.213900e+04
       525.0    2.372367e+05    1.213900e+04
       550.0    2.434592e+05    1.213900e+04
       575.0    2.398324e+05    1.213900e+04
       600.0    2.396087e+05    1.213900e+04
       625.0    2.438773e+05    1.213900e+04
       650.0    2.571390e+05    1.213900e+04
       675.0    2.532594e+05    1.213900e+04
       700.0    2.782883e+05    1.213900e+04
       725.0    2.543896e+05    1.213900e+04
       750.0    2.691020e+05    1.213900e+04
       775.0    2.473815e+05    1.213900e+04
       800.0    2.538122e+05    1.213900e+04
       825.0    2.620824e+05    1.213900e+04
       850.0    2.431186e+05    1.213900e+04
       875.0    2.686342e+05    1.213900e+04
       900.0    2.501089e+05    1.213900e+04
       925.0    2.579221e+05    1.213900e+04
       950.0    2.695413e+05    1.213900e+04
       975.0    2.356936e+05    1.213900e+04
      1000.0    2.447516e+05    1.213900e+04
      1025.0    2.592537e+05    1.213900e+04
      1050.0    2.434959e+05    1.213900e+04
      1075.0    2.500082e+05    1.213900e+04
      1100.0    2.359349e+05    1.213900e+04
      1125.0    2.418637e+05    1.213900e+04
      1150.0    2.649664e+05    1.213900e+04
      1175.0    2.495744e+05    1.213900e+04
      1200.0    2.517289e+05    1.213900e+04
      1225.0    2.387423e+05    1.213900e+04
      1250.0    2.600963e+05    1.213900e+04
      1275.0    2.356649e+05    1.213900e+04
      1300.0    2.785510e+05    1.213900e+04
      1325.0    2.637312e+05    1.213900e+04
      1350.0    2.577872e+05    1.213900e+04
      1375.0    2.478548e+05    1.213900e+04
      1400.0    2.530648e+05    1.213900e+04
      1425.0    2.683605e+05    1.213900e+04
