# Name:      84N-H
# y_ppm:  115.90853    0.00002
# yw_hz:   20.02456    0.05244
# y_eta:   -0.01660    0.02086
# x_ppm:    7.80308    0.00002
# xw_hz:   19.85362    0.05341
# x_eta:    0.02017    0.02197
#---------------------------------------------
#          Z               I           I_err
    -12000.0    7.484440e+05    1.213900e+04
     -1800.0    4.578765e+05    1.213900e+04
     -1775.0    4.815728e+05    1.213900e+04
     -1750.0    4.846088e+05    1.213900e+04
     -1725.0    4.719444e+05    1.213900e+04
     -1700.0    4.407456e+05    1.213900e+04
     -1675.0    4.628601e+05    1.213900e+04
     -1650.0    4.778846e+05    1.213900e+04
     -1625.0    4.457394e+05    1.213900e+04
     -1600.0    4.650985e+05    1.213900e+04
     -1575.0    4.461526e+05    1.213900e+04
     -1550.0    4.452771e+05    1.213900e+04
     -1525.0    4.638934e+05    1.213900e+04
     -1500.0    4.601015e+05    1.213900e+04
     -1475.0    4.676620e+05    1.213900e+04
     -1450.0    4.618062e+05    1.213900e+04
     -1425.0    4.731089e+05    1.213900e+04
     -1400.0    4.899980e+05    1.213900e+04
     -1375.0    4.621083e+05    1.213900e+04
     -1350.0    4.626052e+05    1.213900e+04
     -1325.0    4.746151e+05    1.213900e+04
     -1300.0    4.621065e+05    1.213900e+04
     -1275.0    4.809464e+05    1.213900e+04
     -1250.0    4.612668e+05    1.213900e+04
     -1225.0    4.540471e+05    1.213900e+04
     -1200.0    4.487195e+05    1.213900e+04
     -1175.0    4.945994e+05    1.213900e+04
     -1150.0    4.689500e+05    1.213900e+04
     -1125.0    4.709539e+05    1.213900e+04
     -1100.0    4.745875e+05    1.213900e+04
     -1075.0    4.620623e+05    1.213900e+04
     -1050.0    4.447382e+05    1.213900e+04
     -1025.0    4.623212e+05    1.213900e+04
     -1000.0    4.705282e+05    1.213900e+04
      -975.0    4.528391e+05    1.213900e+04
      -950.0    4.734836e+05    1.213900e+04
      -925.0    4.447209e+05    1.213900e+04
      -900.0    4.559341e+05    1.213900e+04
      -875.0    4.679990e+05    1.213900e+04
      -850.0    4.640288e+05    1.213900e+04
      -825.0    4.705271e+05    1.213900e+04
      -800.0    4.613340e+05    1.213900e+04
      -775.0    4.386363e+05    1.213900e+04
      -750.0    4.687182e+05    1.213900e+04
      -725.0    4.375086e+05    1.213900e+04
      -700.0    4.453288e+05    1.213900e+04
      -675.0    4.574337e+05    1.213900e+04
      -650.0    4.483820e+05    1.213900e+04
      -625.0    4.305045e+05    1.213900e+04
      -600.0    4.102873e+05    1.213900e+04
      -575.0    4.449346e+05    1.213900e+04
