# Name:       9N-H
# y_ppm:  119.76863    0.00004
# yw_hz:   20.79184    0.10046
# y_eta:    0.00648    0.06297
# x_ppm:    7.55885    0.00003
# xw_hz:   18.58615    0.09453
# x_eta:    0.07793    0.04625
#---------------------------------------------
#          Z               I           I_err
    -12000.0    4.159274e+05    1.213900e+04
     -1800.0    2.467411e+05    1.213900e+04
     -1775.0    2.583648e+05    1.213900e+04
     -1750.0    2.367918e+05    1.213900e+04
     -1725.0    2.235359e+05    1.213900e+04
     -1700.0    2.519831e+05    1.213900e+04
     -1675.0    2.367414e+05    1.213900e+04
     -1650.0    2.417191e+05    1.213900e+04
     -1625.0    2.526404e+05    1.213900e+04
     -1600.0    2.720597e+05    1.213900e+04
     -1575.0    2.646935e+05    1.213900e+04
     -1550.0    2.517006e+05    1.213900e+04
     -1525.0    2.486151e+05    1.213900e+04
     -1500.0    2.509209e+05    1.213900e+04
     -1475.0    2.476192e+05    1.213900e+04
     -1450.0    2.381367e+05    1.213900e+04
     -1425.0    2.490361e+05    1.213900e+04
     -1400.0    2.394023e+05    1.213900e+04
     -1375.0    2.733215e+05    1.213900e+04
     -1350.0    2.537814e+05    1.213900e+04
     -1325.0    2.304151e+05    1.213900e+04
     -1300.0    2.455893e+05    1.213900e+04
     -1275.0    2.293900e+05    1.213900e+04
     -1250.0    2.566483e+05    1.213900e+04
     -1225.0    2.462854e+05    1.213900e+04
     -1200.0    2.570662e+05    1.213900e+04
     -1175.0    2.488841e+05    1.213900e+04
     -1150.0    2.623651e+05    1.213900e+04
     -1125.0    2.442781e+05    1.213900e+04
     -1100.0    2.495361e+05    1.213900e+04
     -1075.0    2.411835e+05    1.213900e+04
     -1050.0    2.345015e+05    1.213900e+04
     -1025.0    2.344816e+05    1.213900e+04
     -1000.0    2.434398e+05    1.213900e+04
      -975.0    2.462805e+05    1.213900e+04
      -950.0    2.431171e+05    1.213900e+04
      -925.0    2.499999e+05    1.213900e+04
      -900.0    2.862039e+05    1.213900e+04
      -875.0    2.503254e+05    1.213900e+04
      -850.0    2.566577e+05    1.213900e+04
      -825.0    2.489072e+05    1.213900e+04
      -800.0    2.556571e+05    1.213900e+04
      -775.0    2.487401e+05    1.213900e+04
      -750.0    2.579181e+05    1.213900e+04
      -725.0    2.581461e+05    1.213900e+04
      -700.0    2.608776e+05    1.213900e+04
      -675.0    2.556325e+05    1.213900e+04
      -650.0    2.276384e+05    1.213900e+04
      -625.0    2.512710e+05    1.213900e+04
      -600.0    2.349633e+05    1.213900e+04
      -575.0    2.269128e+05    1.213900e+04
      -550.0    2.434668e+05    1.213900e+04
      -525.0    2.350371e+05    1.213900e+04
      -500.0    2.329966e+05    1.213900e+04
      -475.0    2.540513e+05    1.213900e+04
      -450.0    2.392562e+05    1.213900e+04
      -425.0    2.204058e+05    1.213900e+04
      -400.0    2.491337e+05    1.213900e+04
      -375.0    2.573185e+05    1.213900e+04
      -350.0    2.161497e+05    1.213900e+04
      -325.0    2.385356e+05    1.213900e+04
      -300.0    2.375723e+05    1.213900e+04
      -275.0    2.284028e+05    1.213900e+04
      -250.0    2.069502e+05    1.213900e+04
      -225.0    2.185715e+05    1.213900e+04
      -200.0    2.070991e+05    1.213900e+04
      -175.0    2.044711e+05    1.213900e+04
      -150.0    2.008131e+05    1.213900e+04
      -125.0    1.703683e+05    1.213900e+04
      -100.0    1.207734e+05    1.213900e+04
       -75.0    4.903407e+04    1.213900e+04
       -50.0    2.810855e+04    1.213900e+04
       -25.0    1.105860e+04    1.213900e+04
         0.0   -7.209658e+03    1.213900e+04
        25.0    1.581413e+04    1.213900e+04
        50.0    4.643286e+04    1.213900e+04
        75.0    8.247316e+04    1.213900e+04
       100.0    1.520957e+05    1.213900e+04
       125.0    1.934714e+05    1.213900e+04
       150.0    1.874108e+05    1.213900e+04
       175.0    2.222978e+05    1.213900e+04
       200.0    2.406179e+05    1.213900e+04
       225.0    2.174521e+05    1.213900e+04
       250.0    2.304003e+05    1.213900e+04
       275.0    2.197970e+05    1.213900e+04
       300.0    2.377985e+05    1.213900e+04
       325.0    2.327886e+05    1.213900e+04
       350.0    2.271820e+05    1.213900e+04
       375.0    2.603083e+05    1.213900e+04
       400.0    2.271022e+05    1.213900e+04
       425.0    2.303631e+05    1.213900e+04
       450.0    2.293721e+05    1.213900e+04
       475.0    2.373315e+05    1.213900e+04
       500.0    2.379705e+05    1.213900e+04
       525.0    2.474174e+05    1.213900e+04
       550.0    2.386642e+05    1.213900e+04
       575.0    2.422423e+05    1.213900e+04
       600.0    2.352566e+05    1.213900e+04
       625.0    2.408748e+05    1.213900e+04
       650.0    2.282032e+05    1.213900e+04
       675.0    2.420183e+05    1.213900e+04
       700.0    2.336908e+05    1.213900e+04
       725.0    2.374054e+05    1.213900e+04
       750.0    2.243567e+05    1.213900e+04
       775.0    2.280728e+05    1.213900e+04
       800.0    2.574844e+05    1.213900e+04
       825.0    2.666779e+05    1.213900e+04
       850.0    2.227523e+05    1.213900e+04
       875.0    2.379566e+05    1.213900e+04
       900.0    2.476463e+05    1.213900e+04
       925.0    2.210634e+05    1.213900e+04
       950.0    2.310826e+05    1.213900e+04
       975.0    2.620427e+05    1.213900e+04
      1000.0    2.334703e+05    1.213900e+04
      1025.0    2.299286e+05    1.213900e+04
      1050.0    2.701594e+05    1.213900e+04
      1075.0    2.556503e+05    1.213900e+04
      1100.0    2.471506e+05    1.213900e+04
      1125.0    2.290907e+05    1.213900e+04
      1150.0    2.345192e+05    1.213900e+04
      1175.0    2.280831e+05    1.213900e+04
      1200.0    2.449186e+05    1.213900e+04
      1225.0    2.594203e+05    1.213900e+04
      1250.0    2.592157e+05    1.213900e+04
      1275.0    2.473323e+05    1.213900e+04
      1300.0    2.586389e+05    1.213900e+04
      1325.0    2.502760e+05    1.213900e+04
      1350.0    2.397139e+05    1.213900e+04
      1375.0    2.310323e+05    1.213900e+04
      1400.0    2.487877e+05    1.213900e+04
      1425.0    2.317312e+05    1.213900e+04
