# Name:    1000N-H
# y_ppm:  118.49457    0.00007
# yw_hz:   22.07256    0.03356
# y_eta:    0.35177    0.01681
# x_ppm:    8.66319    0.00008
# xw_hz:   24.19927    0.14321
# x_eta:    0.12022    0.00850
#---------------------------------------------
#          Z               I           I_err
    -12000.0    4.235223e+05    9.305852e+03
     -1800.0    2.661098e+05    9.305852e+03
     -1775.0    2.705628e+05    9.305852e+03
     -1750.0    2.632055e+05    9.305852e+03
     -1725.0    2.685652e+05    9.305852e+03
     -1700.0    2.628948e+05    9.305852e+03
     -1675.0    2.597492e+05    9.305852e+03
     -1650.0    2.589038e+05    9.305852e+03
     -1625.0    2.553602e+05    9.305852e+03
     -1600.0    2.581253e+05    9.305852e+03
     -1575.0    2.481242e+05    9.305852e+03
     -1550.0    2.726118e+05    9.305852e+03
     -1525.0    2.442611e+05    9.305852e+03
     -1500.0    2.681097e+05    9.305852e+03
     -1475.0    2.467642e+05    9.305852e+03
     -1450.0    2.716750e+05    9.305852e+03
     -1425.0    2.547580e+05    9.305852e+03
     -1400.0    2.582461e+05    9.305852e+03
     -1375.0    2.657773e+05    9.305852e+03
     -1350.0    2.691341e+05    9.305852e+03
     -1325.0    2.715087e+05    9.305852e+03
     -1300.0    2.591687e+05    9.305852e+03
     -1275.0    2.652384e+05    9.305852e+03
     -1250.0    2.868846e+05    9.305852e+03
     -1225.0    2.443440e+05    9.305852e+03
     -1200.0    2.642039e+05    9.305852e+03
     -1175.0    2.568414e+05    9.305852e+03
     -1150.0    2.452662e+05    9.305852e+03
     -1125.0    2.780666e+05    9.305852e+03
     -1100.0    2.633396e+05    9.305852e+03
     -1075.0    2.719389e+05    9.305852e+03
     -1050.0    2.795204e+05    9.305852e+03
     -1025.0    2.593247e+05    9.305852e+03
     -1000.0    2.821359e+05    9.305852e+03
      -975.0    2.536913e+05    9.305852e+03
      -950.0    2.714542e+05    9.305852e+03
      -925.0    2.626586e+05    9.305852e+03
      -900.0    2.672839e+05    9.305852e+03
      -875.0    2.634410e+05    9.305852e+03
      -850.0    2.513062e+05    9.305852e+03
      -825.0    2.678070e+05    9.305852e+03
      -800.0    2.632371e+05    9.305852e+03
      -775.0    2.725607e+05    9.305852e+03
      -750.0    2.656131e+05    9.305852e+03
      -725.0    2.733624e+05    9.305852e+03
      -700.0    2.495683e+05    9.305852e+03
      -675.0    2.692645e+05    9.305852e+03
      -650.0    2.471172e+05    9.305852e+03
      -625.0    2.372265e+05    9.305852e+03
      -600.0    2.558141e+05    9.305852e+03
      -575.0    2.653854e+05    9.305852e+03
      -550.0    2.378033e+05    9.305852e+03
      -525.0    2.259653e+05    9.305852e+03
      -500.0    1.959711e+05    9.305852e+03
      -475.0    1.898123e+05    9.305852e+03
      -450.0    1.552253e+05    9.305852e+03
      -425.0    1.507552e+05    9.305852e+03
      -400.0    1.443159e+05    9.305852e+03
      -375.0    1.769731e+05    9.305852e+03
      -350.0    1.999739e+05    9.305852e+03
      -325.0    1.957729e+05    9.305852e+03
      -300.0    2.027115e+05    9.305852e+03
      -275.0    1.836500e+05    9.305852e+03
      -250.0    1.662787e+05    9.305852e+03
      -225.0    1.305643e+05    9.305852e+03
      -200.0    8.814967e+04    9.305852e+03
      -175.0    1.040656e+04    9.305852e+03
      -150.0   -7.765889e+03    9.305852e+03
      -125.0   -7.257002e+03    9.305852e+03
      -100.0    5.002759e+03    9.305852e+03
       -75.0    2.635269e+04    9.305852e+03
       -50.0    9.764507e+04    9.305852e+03
       -25.0    1.480907e+05    9.305852e+03
         0.0    1.795699e+05    9.305852e+03
        25.0    2.092839e+05    9.305852e+03
        50.0    2.306055e+05    9.305852e+03
        75.0    2.075630e+05    9.305852e+03
       100.0    2.489250e+05    9.305852e+03
       125.0    2.142017e+05    9.305852e+03
       150.0    2.565472e+05    9.305852e+03
       175.0    2.376797e+05    9.305852e+03
       200.0    2.613156e+05    9.305852e+03
       225.0    2.427680e+05    9.305852e+03
       250.0    2.446400e+05    9.305852e+03
       275.0    2.278179e+05    9.305852e+03
       300.0    2.591016e+05    9.305852e+03
       325.0    2.487246e+05    9.305852e+03
       350.0    2.540606e+05    9.305852e+03
       375.0    2.662542e+05    9.305852e+03
       400.0    2.425129e+05    9.305852e+03
       425.0    2.415871e+05    9.305852e+03
       450.0    2.599584e+05    9.305852e+03
       475.0    2.661419e+05    9.305852e+03
       500.0    2.503250e+05    9.305852e+03
       525.0    2.579669e+05    9.305852e+03
       550.0    2.671511e+05    9.305852e+03
       575.0    2.666207e+05    9.305852e+03
       600.0    2.766640e+05    9.305852e+03
       625.0    2.671627e+05    9.305852e+03
       650.0    2.556552e+05    9.305852e+03
       675.0    2.664352e+05    9.305852e+03
       700.0    2.483618e+05    9.305852e+03
       725.0    2.740460e+05    9.305852e+03
       750.0    2.381367e+05    9.305852e+03
       775.0    2.592971e+05    9.305852e+03
       800.0    2.558860e+05    9.305852e+03
       825.0    2.546357e+05    9.305852e+03
       850.0    2.510644e+05    9.305852e+03
       875.0    2.680396e+05    9.305852e+03
       900.0    2.650031e+05    9.305852e+03
       925.0    2.578891e+05    9.305852e+03
       950.0    2.619354e+05    9.305852e+03
       975.0    2.689284e+05    9.305852e+03
      1000.0    2.532562e+05    9.305852e+03
      1025.0    2.576262e+05    9.305852e+03
      1050.0    2.591811e+05    9.305852e+03
      1075.0    2.660335e+05    9.305852e+03
      1100.0    2.686699e+05    9.305852e+03
      1125.0    2.692971e+05    9.305852e+03
      1150.0    2.526867e+05    9.305852e+03
      1175.0    2.499945e+05    9.305852e+03
      1200.0    2.753337e+05    9.305852e+03
      1225.0    2.420124e+05    9.305852e+03
      1250.0    2.596485e+05    9.305852e+03
      1275.0    2.709868e+05    9.305852e+03
      1300.0    2.690756e+05    9.305852e+03
      1325.0    2.734627e+05    9.305852e+03
      1350.0    2.680165e+05    9.305852e+03
      1375.0    2.681148e+05    9.305852e+03
      1400.0    2.552495e+05    9.305852e+03
      1425.0    2.586988e+05    9.305852e+03
