# Name:    1013N-H
# y_ppm:  110.19187    0.00011
# yw_hz:   25.18739    0.06203
# y_eta:    0.21620    0.00813
# x_ppm:    7.52083    0.00005
# xw_hz:   14.84664    0.04581
# x_eta:   -0.58889    0.00809
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -3.178819e+05    1.073415e+04
     -1800.0   -1.751311e+05    1.073415e+04
     -1775.0   -1.923035e+05    1.073415e+04
     -1750.0   -1.768697e+05    1.073415e+04
     -1725.0   -1.705458e+05    1.073415e+04
     -1700.0   -1.618189e+05    1.073415e+04
     -1675.0   -1.733910e+05    1.073415e+04
     -1650.0   -1.649598e+05    1.073415e+04
     -1625.0   -1.873310e+05    1.073415e+04
     -1600.0   -1.767505e+05    1.073415e+04
     -1575.0   -1.544801e+05    1.073415e+04
     -1550.0   -1.877028e+05    1.073415e+04
     -1525.0   -1.855685e+05    1.073415e+04
     -1500.0   -1.585246e+05    1.073415e+04
     -1475.0   -1.657730e+05    1.073415e+04
     -1450.0   -1.668826e+05    1.073415e+04
     -1425.0   -1.510066e+05    1.073415e+04
     -1400.0   -1.477327e+05    1.073415e+04
     -1375.0   -1.671724e+05    1.073415e+04
     -1350.0   -1.538038e+05    1.073415e+04
     -1325.0   -1.396841e+05    1.073415e+04
     -1300.0   -1.621131e+05    1.073415e+04
     -1275.0   -1.503217e+05    1.073415e+04
     -1250.0   -1.682418e+05    1.073415e+04
     -1225.0   -1.530857e+05    1.073415e+04
     -1200.0   -1.893726e+05    1.073415e+04
     -1175.0   -1.648285e+05    1.073415e+04
     -1150.0   -1.626050e+05    1.073415e+04
     -1125.0   -1.647242e+05    1.073415e+04
     -1100.0   -1.586693e+05    1.073415e+04
     -1075.0   -1.591328e+05    1.073415e+04
     -1050.0   -1.669413e+05    1.073415e+04
     -1025.0   -1.727730e+05    1.073415e+04
     -1000.0   -1.706620e+05    1.073415e+04
      -975.0   -1.240742e+05    1.073415e+04
      -950.0   -1.719428e+05    1.073415e+04
      -925.0   -1.419129e+05    1.073415e+04
      -900.0   -1.436097e+05    1.073415e+04
      -875.0   -1.320282e+05    1.073415e+04
      -850.0   -7.096946e+04    1.073415e+04
      -825.0   -1.486134e+04    1.073415e+04
      -800.0   -1.127244e+04    1.073415e+04
      -775.0    8.617528e+03    1.073415e+04
      -750.0   -7.723771e+04    1.073415e+04
      -725.0   -1.420861e+05    1.073415e+04
      -700.0   -1.384577e+05    1.073415e+04
      -675.0   -1.592185e+05    1.073415e+04
      -650.0   -1.745389e+05    1.073415e+04
      -625.0   -1.678317e+05    1.073415e+04
      -600.0   -1.746883e+05    1.073415e+04
      -575.0   -1.723166e+05    1.073415e+04
      -550.0   -1.688522e+05    1.073415e+04
      -525.0   -1.768871e+05    1.073415e+04
      -500.0   -1.697719e+05    1.073415e+04
      -475.0   -1.624496e+05    1.073415e+04
      -450.0   -1.641926e+05    1.073415e+04
      -425.0   -1.669990e+05    1.073415e+04
      -400.0   -1.712035e+05    1.073415e+04
      -375.0   -1.681137e+05    1.073415e+04
      -350.0   -1.706640e+05    1.073415e+04
      -325.0   -1.857909e+05    1.073415e+04
      -300.0   -1.687462e+05    1.073415e+04
      -275.0   -1.772826e+05    1.073415e+04
      -250.0   -1.661800e+05    1.073415e+04
      -225.0   -1.805304e+05    1.073415e+04
      -200.0   -1.697060e+05    1.073415e+04
      -175.0   -1.770127e+05    1.073415e+04
      -150.0   -1.721494e+05    1.073415e+04
      -125.0   -1.742090e+05    1.073415e+04
      -100.0   -1.701057e+05    1.073415e+04
       -75.0   -1.809916e+05    1.073415e+04
       -50.0   -1.566009e+05    1.073415e+04
       -25.0   -1.727442e+05    1.073415e+04
         0.0   -1.701062e+05    1.073415e+04
        25.0   -1.611286e+05    1.073415e+04
        50.0   -1.598962e+05    1.073415e+04
        75.0   -1.872369e+05    1.073415e+04
       100.0   -1.774509e+05    1.073415e+04
       125.0   -1.626603e+05    1.073415e+04
       150.0   -1.594458e+05    1.073415e+04
       175.0   -1.683829e+05    1.073415e+04
       200.0   -1.877384e+05    1.073415e+04
       225.0   -1.772772e+05    1.073415e+04
       250.0   -1.689724e+05    1.073415e+04
       275.0   -1.690181e+05    1.073415e+04
       300.0   -1.660643e+05    1.073415e+04
       325.0   -1.618797e+05    1.073415e+04
       350.0   -1.978994e+05    1.073415e+04
       375.0   -1.789648e+05    1.073415e+04
       400.0   -1.690201e+05    1.073415e+04
       425.0   -1.809136e+05    1.073415e+04
       450.0   -1.634257e+05    1.073415e+04
       475.0   -1.734169e+05    1.073415e+04
       500.0   -1.715676e+05    1.073415e+04
       525.0   -1.793650e+05    1.073415e+04
       550.0   -1.830926e+05    1.073415e+04
       575.0   -1.978585e+05    1.073415e+04
       600.0   -1.896732e+05    1.073415e+04
       625.0   -1.668118e+05    1.073415e+04
       650.0   -1.390854e+05    1.073415e+04
       675.0   -1.735152e+05    1.073415e+04
       700.0   -1.718254e+05    1.073415e+04
       725.0   -1.718915e+05    1.073415e+04
       750.0   -1.714576e+05    1.073415e+04
       775.0   -1.912878e+05    1.073415e+04
       800.0   -1.719554e+05    1.073415e+04
       825.0   -1.887478e+05    1.073415e+04
       850.0   -1.730247e+05    1.073415e+04
       875.0   -1.923041e+05    1.073415e+04
       900.0   -1.820807e+05    1.073415e+04
       925.0   -1.638133e+05    1.073415e+04
       950.0   -1.759363e+05    1.073415e+04
       975.0   -1.706329e+05    1.073415e+04
      1000.0   -1.667973e+05    1.073415e+04
      1025.0   -1.584677e+05    1.073415e+04
      1050.0   -1.423925e+05    1.073415e+04
      1075.0   -1.894544e+05    1.073415e+04
      1100.0   -1.710177e+05    1.073415e+04
      1125.0   -1.742777e+05    1.073415e+04
      1150.0   -1.762200e+05    1.073415e+04
      1175.0   -1.784275e+05    1.073415e+04
      1200.0   -1.660983e+05    1.073415e+04
      1225.0   -1.662993e+05    1.073415e+04
      1250.0   -1.773794e+05    1.073415e+04
      1275.0   -1.655410e+05    1.073415e+04
      1300.0   -1.573583e+05    1.073415e+04
      1325.0   -1.692624e+05    1.073415e+04
      1350.0   -1.965771e+05    1.073415e+04
      1375.0   -1.694499e+05    1.073415e+04
      1400.0   -1.608696e+05    1.073415e+04
      1425.0   -1.693276e+05    1.073415e+04
