# Name:     105N-H
# y_ppm:  117.80979    0.00006
# yw_hz:   21.75935    0.08274
# y_eta:    0.08779    0.01083
# x_ppm:    7.98186    0.00005
# xw_hz:   19.50738    0.08242
# x_eta:   -0.03125    0.00475
#---------------------------------------------
#          Z               I           I_err
    -12000.0    4.918772e+05    1.071861e+04
     -1800.0    3.239845e+05    1.071861e+04
     -1775.0    3.476778e+05    1.071861e+04
     -1750.0    3.549493e+05    1.071861e+04
     -1725.0    3.195432e+05    1.071861e+04
     -1700.0    3.351314e+05    1.071861e+04
     -1675.0    3.400361e+05    1.071861e+04
     -1650.0    3.343678e+05    1.071861e+04
     -1625.0    3.326704e+05    1.071861e+04
     -1600.0    3.416382e+05    1.071861e+04
     -1575.0    3.383897e+05    1.071861e+04
     -1550.0    3.534961e+05    1.071861e+04
     -1525.0    3.344306e+05    1.071861e+04
     -1500.0    3.226263e+05    1.071861e+04
     -1475.0    3.312571e+05    1.071861e+04
     -1450.0    3.372980e+05    1.071861e+04
     -1425.0    3.319425e+05    1.071861e+04
     -1400.0    3.406355e+05    1.071861e+04
     -1375.0    3.468144e+05    1.071861e+04
     -1350.0    3.498874e+05    1.071861e+04
     -1325.0    3.325808e+05    1.071861e+04
     -1300.0    3.617116e+05    1.071861e+04
     -1275.0    3.257390e+05    1.071861e+04
     -1250.0    3.104950e+05    1.071861e+04
     -1225.0    3.092264e+05    1.071861e+04
     -1200.0    3.423489e+05    1.071861e+04
     -1175.0    3.498982e+05    1.071861e+04
     -1150.0    3.332838e+05    1.071861e+04
     -1125.0    3.348549e+05    1.071861e+04
     -1100.0    3.086482e+05    1.071861e+04
     -1075.0    3.296271e+05    1.071861e+04
     -1050.0    3.324746e+05    1.071861e+04
     -1025.0    3.378651e+05    1.071861e+04
     -1000.0    3.484331e+05    1.071861e+04
      -975.0    3.383691e+05    1.071861e+04
      -950.0    3.129673e+05    1.071861e+04
      -925.0    3.087494e+05    1.071861e+04
      -900.0    3.280973e+05    1.071861e+04
      -875.0    3.120322e+05    1.071861e+04
      -850.0    3.341940e+05    1.071861e+04
      -825.0    3.314154e+05    1.071861e+04
      -800.0    3.282866e+05    1.071861e+04
      -775.0    3.343356e+05    1.071861e+04
      -750.0    3.230184e+05    1.071861e+04
      -725.0    3.172763e+05    1.071861e+04
      -700.0    3.349416e+05    1.071861e+04
      -675.0    3.296130e+05    1.071861e+04
      -650.0    3.521649e+05    1.071861e+04
      -625.0    3.426212e+05    1.071861e+04
      -600.0    3.133260e+05    1.071861e+04
      -575.0    3.310853e+05    1.071861e+04
      -550.0    3.124504e+05    1.071861e+04
      -525.0    3.268702e+05    1.071861e+04
      -500.0    3.118877e+05    1.071861e+04
      -475.0    3.236924e+05    1.071861e+04
      -450.0    3.066479e+05    1.071861e+04
      -425.0    3.248318e+05    1.071861e+04
      -400.0    2.963320e+05    1.071861e+04
      -375.0    2.883071e+05    1.071861e+04
      -350.0    2.783396e+05    1.071861e+04
      -325.0    2.688117e+05    1.071861e+04
      -300.0    2.242168e+05    1.071861e+04
      -275.0    1.704632e+05    1.071861e+04
      -250.0    8.363642e+04    1.071861e+04
      -225.0    7.456393e+03    1.071861e+04
      -200.0    1.218739e+04    1.071861e+04
      -175.0   -6.084174e+03    1.071861e+04
      -150.0   -1.183126e+04    1.071861e+04
      -125.0    3.663890e+04    1.071861e+04
      -100.0    1.001343e+05    1.071861e+04
       -75.0    1.483174e+05    1.071861e+04
       -50.0    1.820576e+05    1.071861e+04
       -25.0    1.976348e+05    1.071861e+04
         0.0    1.942549e+05    1.071861e+04
        25.0    1.847749e+05    1.071861e+04
        50.0    2.109674e+05    1.071861e+04
        75.0    2.439308e+05    1.071861e+04
       100.0    2.546750e+05    1.071861e+04
       125.0    2.957008e+05    1.071861e+04
       150.0    3.246623e+05    1.071861e+04
       175.0    3.029171e+05    1.071861e+04
       200.0    3.107740e+05    1.071861e+04
       225.0    3.142766e+05    1.071861e+04
       250.0    3.362988e+05    1.071861e+04
       275.0    3.243408e+05    1.071861e+04
       300.0    3.045436e+05    1.071861e+04
       325.0    3.391930e+05    1.071861e+04
       350.0    3.358408e+05    1.071861e+04
       375.0    3.137536e+05    1.071861e+04
       400.0    2.957162e+05    1.071861e+04
       425.0    3.445186e+05    1.071861e+04
       450.0    3.163499e+05    1.071861e+04
       475.0    3.379740e+05    1.071861e+04
       500.0    3.459547e+05    1.071861e+04
       525.0    3.285730e+05    1.071861e+04
       550.0    3.232736e+05    1.071861e+04
       575.0    3.331181e+05    1.071861e+04
       600.0    3.472611e+05    1.071861e+04
       625.0    3.338086e+05    1.071861e+04
       650.0    3.177706e+05    1.071861e+04
       675.0    3.328252e+05    1.071861e+04
       700.0    3.190861e+05    1.071861e+04
       725.0    3.454226e+05    1.071861e+04
       750.0    3.206239e+05    1.071861e+04
       775.0    3.204800e+05    1.071861e+04
       800.0    3.204477e+05    1.071861e+04
       825.0    3.461536e+05    1.071861e+04
       850.0    3.224921e+05    1.071861e+04
       875.0    3.342260e+05    1.071861e+04
       900.0    3.190320e+05    1.071861e+04
       925.0    3.277280e+05    1.071861e+04
       950.0    3.239138e+05    1.071861e+04
       975.0    3.399206e+05    1.071861e+04
      1000.0    3.456417e+05    1.071861e+04
      1025.0    3.457461e+05    1.071861e+04
