# Name:    126EN-H
# y_ppm:  112.02200    0.00003
# yw_hz:   18.39598    0.06491
# y_eta:   -0.12795    0.00892
# x_ppm:   10.40410    0.00004
# xw_hz:   19.39764    0.08078
# x_eta:   -0.22164    0.01094
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -8.111316e+05    1.179844e+04
     -1800.0   -5.626804e+05    1.179844e+04
     -1775.0   -5.746720e+05    1.179844e+04
     -1750.0   -5.515561e+05    1.179844e+04
     -1725.0   -5.650450e+05    1.179844e+04
     -1700.0   -5.611445e+05    1.179844e+04
     -1675.0   -5.836834e+05    1.179844e+04
     -1650.0   -5.734731e+05    1.179844e+04
     -1625.0   -5.734247e+05    1.179844e+04
     -1600.0   -5.630092e+05    1.179844e+04
     -1575.0   -5.835291e+05    1.179844e+04
     -1550.0   -5.641094e+05    1.179844e+04
     -1525.0   -5.709845e+05    1.179844e+04
     -1500.0   -5.918424e+05    1.179844e+04
     -1475.0   -5.817909e+05    1.179844e+04
     -1450.0   -5.688035e+05    1.179844e+04
     -1425.0   -5.583788e+05    1.179844e+04
     -1400.0   -5.791177e+05    1.179844e+04
     -1375.0   -5.710908e+05    1.179844e+04
     -1350.0   -5.789904e+05    1.179844e+04
     -1325.0   -5.821919e+05    1.179844e+04
     -1300.0   -5.602587e+05    1.179844e+04
     -1275.0   -5.637562e+05    1.179844e+04
     -1250.0   -5.669087e+05    1.179844e+04
     -1225.0   -5.753137e+05    1.179844e+04
     -1200.0   -5.750349e+05    1.179844e+04
     -1175.0   -5.740356e+05    1.179844e+04
     -1150.0   -5.691744e+05    1.179844e+04
     -1125.0   -5.871020e+05    1.179844e+04
     -1100.0   -5.662830e+05    1.179844e+04
     -1075.0   -5.682444e+05    1.179844e+04
     -1050.0   -5.934649e+05    1.179844e+04
     -1025.0   -5.734355e+05    1.179844e+04
     -1000.0   -5.442875e+05    1.179844e+04
      -975.0   -5.517547e+05    1.179844e+04
      -950.0   -5.697089e+05    1.179844e+04
      -925.0   -5.688823e+05    1.179844e+04
      -900.0   -5.548083e+05    1.179844e+04
      -875.0   -5.835352e+05    1.179844e+04
      -850.0   -5.745653e+05    1.179844e+04
      -825.0   -5.615309e+05    1.179844e+04
      -800.0   -5.567069e+05    1.179844e+04
      -775.0   -5.716814e+05    1.179844e+04
      -750.0   -5.671570e+05    1.179844e+04
      -725.0   -5.656704e+05    1.179844e+04
      -700.0   -5.655373e+05    1.179844e+04
      -675.0   -5.723021e+05    1.179844e+04
      -650.0   -5.884214e+05    1.179844e+04
      -625.0   -5.826770e+05    1.179844e+04
      -600.0   -5.629973e+05    1.179844e+04
      -575.0   -5.696937e+05    1.179844e+04
      -550.0   -5.843670e+05    1.179844e+04
      -525.0   -5.705722e+05    1.179844e+04
      -500.0   -5.789606e+05    1.179844e+04
      -475.0   -5.672137e+05    1.179844e+04
      -450.0   -5.863208e+05    1.179844e+04
      -425.0   -5.897165e+05    1.179844e+04
      -400.0   -5.653880e+05    1.179844e+04
      -375.0   -5.572247e+05    1.179844e+04
      -350.0   -5.791498e+05    1.179844e+04
      -325.0   -5.758814e+05    1.179844e+04
      -300.0   -5.652559e+05    1.179844e+04
      -275.0   -5.765623e+05    1.179844e+04
      -250.0   -5.741949e+05    1.179844e+04
      -225.0   -5.539917e+05    1.179844e+04
      -200.0   -5.865890e+05    1.179844e+04
      -175.0   -5.640666e+05    1.179844e+04
      -150.0   -5.651052e+05    1.179844e+04
      -125.0   -5.561107e+05    1.179844e+04
      -100.0   -5.648340e+05    1.179844e+04
       -75.0   -5.701909e+05    1.179844e+04
       -50.0   -5.629615e+05    1.179844e+04
       -25.0   -5.384825e+05    1.179844e+04
         0.0   -5.708087e+05    1.179844e+04
        25.0   -5.541750e+05    1.179844e+04
        50.0   -5.898902e+05    1.179844e+04
        75.0   -5.754907e+05    1.179844e+04
       100.0   -5.608554e+05    1.179844e+04
       125.0   -5.663148e+05    1.179844e+04
       150.0   -5.745309e+05    1.179844e+04
       175.0   -5.676274e+05    1.179844e+04
       200.0   -5.646688e+05    1.179844e+04
