# Name:     130N-H
# y_ppm:  118.89828    0.00002
# yw_hz:   22.02092    0.02973
# y_eta:   -0.03582    0.00712
# x_ppm:    8.20160    0.00003
# xw_hz:   18.73138    0.01441
# x_eta:   -0.19218    0.00501
#---------------------------------------------
#          Z               I           I_err
    -12000.0    9.980920e+05    1.051251e+04
     -1800.0    6.245238e+05    1.051251e+04
     -1775.0    6.296423e+05    1.051251e+04
     -1750.0    6.294866e+05    1.051251e+04
     -1725.0    6.357265e+05    1.051251e+04
     -1700.0    6.325433e+05    1.051251e+04
     -1675.0    6.449195e+05    1.051251e+04
     -1650.0    6.406716e+05    1.051251e+04
     -1625.0    6.039963e+05    1.051251e+04
     -1600.0    6.228587e+05    1.051251e+04
     -1575.0    6.409762e+05    1.051251e+04
     -1550.0    6.306067e+05    1.051251e+04
     -1525.0    6.265846e+05    1.051251e+04
     -1500.0    6.448257e+05    1.051251e+04
     -1475.0    6.205656e+05    1.051251e+04
     -1450.0    6.205476e+05    1.051251e+04
     -1425.0    6.242031e+05    1.051251e+04
     -1400.0    6.542718e+05    1.051251e+04
     -1375.0    6.442239e+05    1.051251e+04
     -1350.0    6.267524e+05    1.051251e+04
     -1325.0    6.168211e+05    1.051251e+04
     -1300.0    6.245865e+05    1.051251e+04
     -1275.0    6.277802e+05    1.051251e+04
     -1250.0    6.117709e+05    1.051251e+04
     -1225.0    6.386795e+05    1.051251e+04
     -1200.0    6.484815e+05    1.051251e+04
     -1175.0    6.204620e+05    1.051251e+04
     -1150.0    6.071275e+05    1.051251e+04
     -1125.0    5.917721e+05    1.051251e+04
     -1100.0    6.137589e+05    1.051251e+04
     -1075.0    6.203407e+05    1.051251e+04
     -1050.0    6.191100e+05    1.051251e+04
     -1025.0    6.197379e+05    1.051251e+04
     -1000.0    6.260711e+05    1.051251e+04
      -975.0    6.408452e+05    1.051251e+04
      -950.0    6.167129e+05    1.051251e+04
      -925.0    6.126147e+05    1.051251e+04
      -900.0    6.343393e+05    1.051251e+04
      -875.0    6.266171e+05    1.051251e+04
      -850.0    6.217461e+05    1.051251e+04
      -825.0    6.400958e+05    1.051251e+04
      -800.0    6.326648e+05    1.051251e+04
      -775.0    6.308735e+05    1.051251e+04
      -750.0    6.143179e+05    1.051251e+04
      -725.0    6.195365e+05    1.051251e+04
      -700.0    6.179940e+05    1.051251e+04
      -675.0    6.171578e+05    1.051251e+04
      -650.0    6.208975e+05    1.051251e+04
      -625.0    5.989165e+05    1.051251e+04
      -600.0    6.447393e+05    1.051251e+04
      -575.0    6.302494e+05    1.051251e+04
      -550.0    6.079635e+05    1.051251e+04
      -525.0    6.134716e+05    1.051251e+04
      -500.0    6.053803e+05    1.051251e+04
      -475.0    6.111721e+05    1.051251e+04
      -450.0    6.156294e+05    1.051251e+04
      -425.0    6.040219e+05    1.051251e+04
      -400.0    6.002783e+05    1.051251e+04
      -375.0    6.054302e+05    1.051251e+04
      -350.0    5.776226e+05    1.051251e+04
      -325.0    5.929176e+05    1.051251e+04
      -300.0    5.531994e+05    1.051251e+04
      -275.0    5.295072e+05    1.051251e+04
      -250.0    4.973740e+05    1.051251e+04
      -225.0    4.465117e+05    1.051251e+04
      -200.0    3.839561e+05    1.051251e+04
      -175.0    2.754783e+05    1.051251e+04
      -150.0    1.241417e+05    1.051251e+04
      -125.0    2.500011e+04    1.051251e+04
      -100.0   -9.779495e+03    1.051251e+04
       -75.0    2.912271e+03    1.051251e+04
       -50.0    3.600600e+04    1.051251e+04
       -25.0    1.725527e+05    1.051251e+04
         0.0    3.441390e+05    1.051251e+04
        25.0    4.206526e+05    1.051251e+04
        50.0    4.903282e+05    1.051251e+04
        75.0    5.307752e+05    1.051251e+04
       100.0    5.564211e+05    1.051251e+04
       125.0    5.700076e+05    1.051251e+04
       150.0    5.699948e+05    1.051251e+04
       175.0    6.059834e+05    1.051251e+04
       200.0    6.031798e+05    1.051251e+04
       225.0    6.123516e+05    1.051251e+04
       250.0    5.921556e+05    1.051251e+04
       275.0    6.081434e+05    1.051251e+04
       300.0    5.985405e+05    1.051251e+04
       325.0    6.113425e+05    1.051251e+04
       350.0    5.986900e+05    1.051251e+04
       375.0    6.140182e+05    1.051251e+04
       400.0    6.024997e+05    1.051251e+04
       425.0    6.108370e+05    1.051251e+04
       450.0    6.188152e+05    1.051251e+04
       475.0    6.182756e+05    1.051251e+04
       500.0    6.339010e+05    1.051251e+04
