# Name:    138EN-H
# y_ppm:  111.39590    0.00002
# yw_hz:   19.12257    0.00447
# y_eta:   -0.09300    0.00291
# x_ppm:   10.16939    0.00002
# xw_hz:   20.25464    0.06405
# x_eta:    0.38559    0.00836
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -7.362337e+05    1.101230e+04
     -1800.0   -4.911316e+05    1.101230e+04
     -1775.0   -5.242153e+05    1.101230e+04
     -1750.0   -5.122077e+05    1.101230e+04
     -1725.0   -5.074847e+05    1.101230e+04
     -1700.0   -5.152471e+05    1.101230e+04
     -1675.0   -4.956769e+05    1.101230e+04
     -1650.0   -4.889902e+05    1.101230e+04
     -1625.0   -4.900355e+05    1.101230e+04
     -1600.0   -5.165246e+05    1.101230e+04
     -1575.0   -4.747885e+05    1.101230e+04
     -1550.0   -4.926327e+05    1.101230e+04
     -1525.0   -5.103630e+05    1.101230e+04
     -1500.0   -5.166546e+05    1.101230e+04
     -1475.0   -5.187673e+05    1.101230e+04
     -1450.0   -5.139844e+05    1.101230e+04
     -1425.0   -5.106362e+05    1.101230e+04
     -1400.0   -5.033532e+05    1.101230e+04
     -1375.0   -4.899398e+05    1.101230e+04
     -1350.0   -5.062655e+05    1.101230e+04
     -1325.0   -4.906207e+05    1.101230e+04
     -1300.0   -5.055470e+05    1.101230e+04
     -1275.0   -4.889875e+05    1.101230e+04
     -1250.0   -5.014548e+05    1.101230e+04
     -1225.0   -4.843559e+05    1.101230e+04
     -1200.0   -5.170990e+05    1.101230e+04
     -1175.0   -5.104463e+05    1.101230e+04
     -1150.0   -4.925919e+05    1.101230e+04
     -1125.0   -4.878577e+05    1.101230e+04
     -1100.0   -4.915240e+05    1.101230e+04
     -1075.0   -5.090664e+05    1.101230e+04
     -1050.0   -5.092767e+05    1.101230e+04
     -1025.0   -4.830173e+05    1.101230e+04
     -1000.0   -5.062189e+05    1.101230e+04
      -975.0   -5.018433e+05    1.101230e+04
      -950.0   -5.096900e+05    1.101230e+04
      -925.0   -4.996868e+05    1.101230e+04
      -900.0   -5.034587e+05    1.101230e+04
      -875.0   -5.062996e+05    1.101230e+04
      -850.0   -4.934844e+05    1.101230e+04
      -825.0   -4.913364e+05    1.101230e+04
      -800.0   -4.810147e+05    1.101230e+04
      -775.0   -4.996841e+05    1.101230e+04
      -750.0   -5.173934e+05    1.101230e+04
      -725.0   -4.738357e+05    1.101230e+04
      -700.0   -4.989484e+05    1.101230e+04
      -675.0   -4.924210e+05    1.101230e+04
      -650.0   -5.091219e+05    1.101230e+04
      -625.0   -5.055732e+05    1.101230e+04
      -600.0   -4.697973e+05    1.101230e+04
      -575.0   -5.081706e+05    1.101230e+04
      -550.0   -5.160196e+05    1.101230e+04
      -525.0   -4.937166e+05    1.101230e+04
      -500.0   -4.971851e+05    1.101230e+04
