# Name:     147N-H
# y_ppm:  115.57167    0.00042
# yw_hz:   26.71077    0.36682
# y_eta:   -1.00000    0.12707
# x_ppm:    8.35535    0.00009
# xw_hz:   18.84606    0.10909
# x_eta:    0.79346    0.04766
#---------------------------------------------
#          Z               I           I_err
    -12000.0    1.915761e+05    1.045975e+04
     -1800.0    9.540717e+04    1.045975e+04
     -1775.0    9.727925e+04    1.045975e+04
     -1750.0    9.306106e+04    1.045975e+04
     -1725.0    1.135242e+05    1.045975e+04
     -1700.0    9.764346e+04    1.045975e+04
     -1675.0    8.369843e+04    1.045975e+04
     -1650.0    9.145484e+04    1.045975e+04
     -1625.0    1.069390e+05    1.045975e+04
     -1600.0    8.962944e+04    1.045975e+04
     -1575.0    1.123171e+05    1.045975e+04
     -1550.0    1.055686e+05    1.045975e+04
     -1525.0    1.082776e+05    1.045975e+04
     -1500.0    9.548427e+04    1.045975e+04
     -1475.0    7.975755e+04    1.045975e+04
     -1450.0    1.100699e+05    1.045975e+04
     -1425.0    1.060709e+05    1.045975e+04
     -1400.0    9.587863e+04    1.045975e+04
     -1375.0    8.365256e+04    1.045975e+04
     -1350.0    1.153734e+05    1.045975e+04
     -1325.0    9.864791e+04    1.045975e+04
     -1300.0    9.523519e+04    1.045975e+04
     -1275.0    9.155822e+04    1.045975e+04
     -1250.0    1.111498e+05    1.045975e+04
     -1225.0    1.172399e+05    1.045975e+04
     -1200.0    9.104093e+04    1.045975e+04
     -1175.0    1.060945e+05    1.045975e+04
     -1150.0    9.606596e+04    1.045975e+04
     -1125.0    1.175707e+05    1.045975e+04
     -1100.0    1.096535e+05    1.045975e+04
     -1075.0    7.199813e+04    1.045975e+04
     -1050.0    8.620807e+04    1.045975e+04
     -1025.0    1.054370e+05    1.045975e+04
     -1000.0    1.148108e+05    1.045975e+04
      -975.0    1.217095e+05    1.045975e+04
      -950.0    9.211749e+04    1.045975e+04
      -925.0    9.347416e+04    1.045975e+04
      -900.0    1.134165e+05    1.045975e+04
      -875.0    1.000815e+05    1.045975e+04
      -850.0    1.064703e+05    1.045975e+04
      -825.0    1.191168e+05    1.045975e+04
      -800.0    9.136464e+04    1.045975e+04
      -775.0    1.094957e+05    1.045975e+04
      -750.0    9.203630e+04    1.045975e+04
