# Name:     155N-H
# y_ppm:  103.91528    0.00004
# yw_hz:   20.63290    0.03123
# y_eta:    0.07153    0.00728
# x_ppm:    8.15443    0.00008
# xw_hz:   20.42195    0.07583
# x_eta:    0.00031    0.00537
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -4.341508e+05    1.069124e+04
     -1800.0   -2.688675e+05    1.069124e+04
     -1775.0   -2.941372e+05    1.069124e+04
     -1750.0   -2.698871e+05    1.069124e+04
     -1725.0   -2.824247e+05    1.069124e+04
     -1700.0   -2.935357e+05    1.069124e+04
     -1675.0   -2.737978e+05    1.069124e+04
     -1650.0   -2.931097e+05    1.069124e+04
     -1625.0   -2.617587e+05    1.069124e+04
     -1600.0   -2.448072e+05    1.069124e+04
     -1575.0   -2.722192e+05    1.069124e+04
     -1550.0   -2.416270e+05    1.069124e+04
     -1525.0   -2.645267e+05    1.069124e+04
     -1500.0   -2.416643e+05    1.069124e+04
     -1475.0   -2.053290e+05    1.069124e+04
     -1450.0   -2.197226e+05    1.069124e+04
     -1425.0   -1.918167e+05    1.069124e+04
     -1400.0   -1.439199e+05    1.069124e+04
     -1375.0   -9.716958e+04    1.069124e+04
     -1350.0   -8.217614e+03    1.069124e+04
     -1325.0    2.455642e+03    1.069124e+04
     -1300.0    4.125781e+01    1.069124e+04
     -1275.0   -1.407100e+03    1.069124e+04
     -1250.0   -2.620307e+04    1.069124e+04
     -1225.0   -1.207976e+05    1.069124e+04
     -1200.0   -1.537248e+05    1.069124e+04
     -1175.0   -2.036883e+05    1.069124e+04
     -1150.0   -1.930462e+05    1.069124e+04
     -1125.0   -2.317529e+05    1.069124e+04
     -1100.0   -2.541483e+05    1.069124e+04
     -1075.0   -2.394571e+05    1.069124e+04
     -1050.0   -2.804951e+05    1.069124e+04
     -1025.0   -2.712421e+05    1.069124e+04
     -1000.0   -2.759078e+05    1.069124e+04
      -975.0   -2.850946e+05    1.069124e+04
      -950.0   -2.935884e+05    1.069124e+04
      -925.0   -2.855379e+05    1.069124e+04
      -900.0   -2.627304e+05    1.069124e+04
      -875.0   -2.890069e+05    1.069124e+04
      -850.0   -2.775786e+05    1.069124e+04
      -825.0   -2.830104e+05    1.069124e+04
      -800.0   -2.782051e+05    1.069124e+04
      -775.0   -2.762725e+05    1.069124e+04
      -750.0   -2.973371e+05    1.069124e+04
      -725.0   -2.924298e+05    1.069124e+04
      -700.0   -2.841708e+05    1.069124e+04
      -675.0   -2.895529e+05    1.069124e+04
      -650.0   -3.186748e+05    1.069124e+04
      -625.0   -2.920541e+05    1.069124e+04
      -600.0   -2.678501e+05    1.069124e+04
      -575.0   -2.907656e+05    1.069124e+04
      -550.0   -2.612279e+05    1.069124e+04
      -525.0   -2.924812e+05    1.069124e+04
      -500.0   -2.998232e+05    1.069124e+04
      -475.0   -2.913234e+05    1.069124e+04
      -450.0   -2.801509e+05    1.069124e+04
      -425.0   -2.916288e+05    1.069124e+04
      -400.0   -3.039667e+05    1.069124e+04
      -375.0   -2.773153e+05    1.069124e+04
      -350.0   -2.883103e+05    1.069124e+04
      -325.0   -3.106288e+05    1.069124e+04
      -300.0   -3.057083e+05    1.069124e+04
      -275.0   -3.072018e+05    1.069124e+04
      -250.0   -2.810079e+05    1.069124e+04
      -225.0   -3.008937e+05    1.069124e+04
      -200.0   -2.635591e+05    1.069124e+04
      -175.0   -2.710366e+05    1.069124e+04
      -150.0   -2.762395e+05    1.069124e+04
      -125.0   -2.914997e+05    1.069124e+04
      -100.0   -2.877135e+05    1.069124e+04
       -75.0   -2.880491e+05    1.069124e+04
       -50.0   -2.899903e+05    1.069124e+04
       -25.0   -2.770562e+05    1.069124e+04
         0.0   -2.863271e+05    1.069124e+04
        25.0   -2.745340e+05    1.069124e+04
        50.0   -2.811735e+05    1.069124e+04
        75.0   -2.671281e+05    1.069124e+04
       100.0   -2.838665e+05    1.069124e+04
       125.0   -3.007561e+05    1.069124e+04
       150.0   -2.923933e+05    1.069124e+04
       175.0   -2.780459e+05    1.069124e+04
       200.0   -2.976292e+05    1.069124e+04
       225.0   -3.118853e+05    1.069124e+04
       250.0   -2.994918e+05    1.069124e+04
       275.0   -2.946842e+05    1.069124e+04
       300.0   -2.949373e+05    1.069124e+04
       325.0   -2.867777e+05    1.069124e+04
       350.0   -2.826156e+05    1.069124e+04
       375.0   -3.018456e+05    1.069124e+04
       400.0   -2.731562e+05    1.069124e+04
       425.0   -2.972357e+05    1.069124e+04
       450.0   -2.866879e+05    1.069124e+04
       475.0   -2.890463e+05    1.069124e+04
       500.0   -2.978761e+05    1.069124e+04
       525.0   -3.183309e+05    1.069124e+04
       550.0   -2.875354e+05    1.069124e+04
       575.0   -2.882793e+05    1.069124e+04
       600.0   -2.863283e+05    1.069124e+04
       625.0   -2.780334e+05    1.069124e+04
       650.0   -2.871300e+05    1.069124e+04
       675.0   -2.889600e+05    1.069124e+04
       700.0   -2.943267e+05    1.069124e+04
       725.0   -2.933352e+05    1.069124e+04
       750.0   -3.012388e+05    1.069124e+04
       775.0   -2.835121e+05    1.069124e+04
       800.0   -3.062686e+05    1.069124e+04
       825.0   -2.881851e+05    1.069124e+04
       850.0   -3.079409e+05    1.069124e+04
       875.0   -2.771984e+05    1.069124e+04
       900.0   -2.733300e+05    1.069124e+04
       925.0   -2.731342e+05    1.069124e+04
       950.0   -2.910547e+05    1.069124e+04
       975.0   -3.104489e+05    1.069124e+04
      1000.0   -2.853909e+05    1.069124e+04
      1025.0   -2.798437e+05    1.069124e+04
      1050.0   -2.820827e+05    1.069124e+04
      1075.0   -2.895057e+05    1.069124e+04
      1100.0   -2.949446e+05    1.069124e+04
      1125.0   -3.018430e+05    1.069124e+04
      1150.0   -2.963274e+05    1.069124e+04
      1175.0   -2.999278e+05    1.069124e+04
      1200.0   -2.935564e+05    1.069124e+04
      1225.0   -2.767044e+05    1.069124e+04
      1250.0   -2.882855e+05    1.069124e+04
      1275.0   -2.856703e+05    1.069124e+04
      1300.0   -2.791129e+05    1.069124e+04
      1325.0   -3.015793e+05    1.069124e+04
      1350.0   -2.820672e+05    1.069124e+04
      1375.0   -2.877843e+05    1.069124e+04
      1400.0   -2.793304e+05    1.069124e+04
      1425.0   -2.925034e+05    1.069124e+04
