# Name:      20N-H
# y_ppm:  124.47249    0.00002
# yw_hz:   20.00800    0.02523
# y_eta:   -0.00526    0.00675
# x_ppm:    8.51541    0.00002
# xw_hz:   17.36735    0.03978
# x_eta:   -0.46202    0.00596
#---------------------------------------------
#          Z               I           I_err
    -12000.0    1.019032e+06    1.175677e+04
     -1800.0    6.256128e+05    1.175677e+04
     -1775.0    6.191562e+05    1.175677e+04
     -1750.0    6.189804e+05    1.175677e+04
     -1725.0    6.303226e+05    1.175677e+04
     -1700.0    6.306698e+05    1.175677e+04
     -1675.0    5.865841e+05    1.175677e+04
     -1650.0    6.104401e+05    1.175677e+04
     -1625.0    6.256543e+05    1.175677e+04
     -1600.0    6.072052e+05    1.175677e+04
     -1575.0    6.370202e+05    1.175677e+04
     -1550.0    6.278305e+05    1.175677e+04
     -1525.0    6.018001e+05    1.175677e+04
     -1500.0    6.459022e+05    1.175677e+04
     -1475.0    6.399864e+05    1.175677e+04
     -1450.0    6.087327e+05    1.175677e+04
     -1425.0    6.175467e+05    1.175677e+04
     -1400.0    6.083652e+05    1.175677e+04
     -1375.0    6.249024e+05    1.175677e+04
     -1350.0    6.214852e+05    1.175677e+04
     -1325.0    6.181560e+05    1.175677e+04
     -1300.0    6.256149e+05    1.175677e+04
     -1275.0    6.176824e+05    1.175677e+04
     -1250.0    6.058268e+05    1.175677e+04
     -1225.0    5.997528e+05    1.175677e+04
     -1200.0    6.064063e+05    1.175677e+04
     -1175.0    6.090334e+05    1.175677e+04
     -1150.0    6.254980e+05    1.175677e+04
     -1125.0    6.197026e+05    1.175677e+04
     -1100.0    6.307019e+05    1.175677e+04
     -1075.0    5.937951e+05    1.175677e+04
     -1050.0    6.206822e+05    1.175677e+04
     -1025.0    6.301781e+05    1.175677e+04
     -1000.0    6.270465e+05    1.175677e+04
      -975.0    6.100357e+05    1.175677e+04
      -950.0    6.109504e+05    1.175677e+04
      -925.0    6.281336e+05    1.175677e+04
      -900.0    6.304838e+05    1.175677e+04
      -875.0    6.204995e+05    1.175677e+04
      -850.0    6.180621e+05    1.175677e+04
      -825.0    6.295614e+05    1.175677e+04
      -800.0    6.226268e+05    1.175677e+04
      -775.0    6.120159e+05    1.175677e+04
      -750.0    6.116654e+05    1.175677e+04
      -725.0    6.154317e+05    1.175677e+04
      -700.0    6.131520e+05    1.175677e+04
      -675.0    6.195152e+05    1.175677e+04
      -650.0    6.425979e+05    1.175677e+04
      -625.0    6.086886e+05    1.175677e+04
      -600.0    6.280096e+05    1.175677e+04
      -575.0    6.205734e+05    1.175677e+04
      -550.0    6.246891e+05    1.175677e+04
      -525.0    6.163475e+05    1.175677e+04
      -500.0    6.063310e+05    1.175677e+04
      -475.0    6.021442e+05    1.175677e+04
      -450.0    6.236020e+05    1.175677e+04
      -425.0    6.250543e+05    1.175677e+04
      -400.0    6.212804e+05    1.175677e+04
      -375.0    6.091699e+05    1.175677e+04
      -350.0    6.119528e+05    1.175677e+04
      -325.0    6.054988e+05    1.175677e+04
      -300.0    6.086681e+05    1.175677e+04
      -275.0    6.138604e+05    1.175677e+04
      -250.0    6.063022e+05    1.175677e+04
      -225.0    6.168013e+05    1.175677e+04
      -200.0    6.195076e+05    1.175677e+04
      -175.0    5.989523e+05    1.175677e+04
      -150.0    5.976710e+05    1.175677e+04
      -125.0    5.990406e+05    1.175677e+04
      -100.0    6.046164e+05    1.175677e+04
       -75.0    6.341296e+05    1.175677e+04
       -50.0    6.073430e+05    1.175677e+04
       -25.0    5.812955e+05    1.175677e+04
         0.0    5.811327e+05    1.175677e+04
        25.0    5.823784e+05    1.175677e+04
        50.0    5.954904e+05    1.175677e+04
        75.0    6.019887e+05    1.175677e+04
       100.0    5.644858e+05    1.175677e+04
       125.0    5.785777e+05    1.175677e+04
       150.0    5.513182e+05    1.175677e+04
       175.0    5.397480e+05    1.175677e+04
       200.0    5.012770e+05    1.175677e+04
