# Name:       2N-H
# y_ppm:  115.63152    0.00001
# yw_hz:   19.18462    0.01697
# y_eta:   -0.06597    0.00408
# x_ppm:    6.86732    0.00001
# xw_hz:   15.84523    0.01364
# x_eta:   -0.37177    0.00421
#---------------------------------------------
#          Z               I           I_err
    -12000.0    1.225391e+06    1.227412e+04
     -1800.0    7.154800e+05    1.227412e+04
     -1775.0    7.328619e+05    1.227412e+04
     -1750.0    7.483629e+05    1.227412e+04
     -1725.0    7.386223e+05    1.227412e+04
     -1700.0    7.435281e+05    1.227412e+04
     -1675.0    7.348893e+05    1.227412e+04
     -1650.0    7.313930e+05    1.227412e+04
     -1625.0    7.244039e+05    1.227412e+04
     -1600.0    7.594717e+05    1.227412e+04
     -1575.0    7.184033e+05    1.227412e+04
     -1550.0    7.295359e+05    1.227412e+04
     -1525.0    7.463422e+05    1.227412e+04
     -1500.0    7.364984e+05    1.227412e+04
     -1475.0    7.171041e+05    1.227412e+04
     -1450.0    7.258148e+05    1.227412e+04
     -1425.0    7.551642e+05    1.227412e+04
     -1400.0    7.504644e+05    1.227412e+04
     -1375.0    7.086953e+05    1.227412e+04
     -1350.0    7.195418e+05    1.227412e+04
     -1325.0    7.367178e+05    1.227412e+04
     -1300.0    7.224113e+05    1.227412e+04
     -1275.0    7.377494e+05    1.227412e+04
     -1250.0    7.614524e+05    1.227412e+04
     -1225.0    7.252786e+05    1.227412e+04
     -1200.0    7.524649e+05    1.227412e+04
     -1175.0    7.430849e+05    1.227412e+04
     -1150.0    7.537264e+05    1.227412e+04
     -1125.0    7.362838e+05    1.227412e+04
     -1100.0    7.405073e+05    1.227412e+04
     -1075.0    7.652219e+05    1.227412e+04
     -1050.0    7.300732e+05    1.227412e+04
     -1025.0    7.110245e+05    1.227412e+04
     -1000.0    7.310359e+05    1.227412e+04
      -975.0    7.217998e+05    1.227412e+04
      -950.0    7.462097e+05    1.227412e+04
      -925.0    7.096678e+05    1.227412e+04
      -900.0    7.280875e+05    1.227412e+04
      -875.0    7.233182e+05    1.227412e+04
      -850.0    7.332421e+05    1.227412e+04
      -825.0    7.281893e+05    1.227412e+04
      -800.0    7.060940e+05    1.227412e+04
      -775.0    7.058319e+05    1.227412e+04
      -750.0    7.065470e+05    1.227412e+04
      -725.0    7.098575e+05    1.227412e+04
      -700.0    7.104634e+05    1.227412e+04
      -675.0    6.993960e+05    1.227412e+04
      -650.0    6.999765e+05    1.227412e+04
