# Name:      42N-H
# y_ppm:  121.10784    0.00003
# yw_hz:   19.35399    0.02111
# y_eta:    0.16073    0.01254
# x_ppm:    7.62622    0.00003
# xw_hz:   17.86465    0.04576
# x_eta:    0.01939    0.01062
#---------------------------------------------
#          Z               I           I_err
    -12000.0    8.691137e+05    1.097775e+04
     -1800.0    5.362943e+05    1.097775e+04
     -1775.0    5.221052e+05    1.097775e+04
     -1750.0    5.420284e+05    1.097775e+04
     -1725.0    5.225531e+05    1.097775e+04
     -1700.0    5.174261e+05    1.097775e+04
     -1675.0    5.160353e+05    1.097775e+04
     -1650.0    5.356593e+05    1.097775e+04
     -1625.0    5.452565e+05    1.097775e+04
     -1600.0    5.270496e+05    1.097775e+04
     -1575.0    5.284741e+05    1.097775e+04
     -1550.0    5.296779e+05    1.097775e+04
     -1525.0    5.389098e+05    1.097775e+04
     -1500.0    5.306698e+05    1.097775e+04
     -1475.0    5.375086e+05    1.097775e+04
     -1450.0    5.355348e+05    1.097775e+04
     -1425.0    5.308930e+05    1.097775e+04
     -1400.0    5.594812e+05    1.097775e+04
     -1375.0    5.284297e+05    1.097775e+04
     -1350.0    5.484552e+05    1.097775e+04
     -1325.0    5.505167e+05    1.097775e+04
     -1300.0    5.458560e+05    1.097775e+04
     -1275.0    5.324732e+05    1.097775e+04
     -1250.0    5.329309e+05    1.097775e+04
     -1225.0    5.129799e+05    1.097775e+04
     -1200.0    5.394606e+05    1.097775e+04
     -1175.0    5.589792e+05    1.097775e+04
     -1150.0    5.519978e+05    1.097775e+04
     -1125.0    5.406887e+05    1.097775e+04
     -1100.0    5.327206e+05    1.097775e+04
     -1075.0    5.391873e+05    1.097775e+04
     -1050.0    5.093404e+05    1.097775e+04
     -1025.0    5.249516e+05    1.097775e+04
     -1000.0    5.454038e+05    1.097775e+04
      -975.0    5.474799e+05    1.097775e+04
      -950.0    5.272625e+05    1.097775e+04
      -925.0    5.515284e+05    1.097775e+04
      -900.0    5.204230e+05    1.097775e+04
      -875.0    5.185631e+05    1.097775e+04
