# Name:       4N-H
# y_ppm:  123.14296    0.00002
# yw_hz:   20.48415    0.04164
# y_eta:    0.10982    0.01025
# x_ppm:    7.82139    0.00004
# xw_hz:   18.46403    0.04585
# x_eta:   -0.13996    0.00606
#---------------------------------------------
#          Z               I           I_err
    -12000.0    5.515863e+05    1.095015e+04
     -1800.0    3.102925e+05    1.095015e+04
     -1775.0    2.927264e+05    1.095015e+04
     -1750.0    3.038285e+05    1.095015e+04
     -1725.0    3.168934e+05    1.095015e+04
     -1700.0    3.221938e+05    1.095015e+04
     -1675.0    3.152806e+05    1.095015e+04
     -1650.0    3.370464e+05    1.095015e+04
     -1625.0    3.311884e+05    1.095015e+04
     -1600.0    3.227020e+05    1.095015e+04
     -1575.0    3.083134e+05    1.095015e+04
     -1550.0    3.114802e+05    1.095015e+04
     -1525.0    3.173748e+05    1.095015e+04
     -1500.0    3.251235e+05    1.095015e+04
     -1475.0    3.384003e+05    1.095015e+04
     -1450.0    3.376311e+05    1.095015e+04
     -1425.0    3.474212e+05    1.095015e+04
     -1400.0    3.181915e+05    1.095015e+04
     -1375.0    3.292102e+05    1.095015e+04
     -1350.0    3.239736e+05    1.095015e+04
     -1325.0    3.258387e+05    1.095015e+04
     -1300.0    3.197264e+05    1.095015e+04
     -1275.0    3.363492e+05    1.095015e+04
     -1250.0    3.313557e+05    1.095015e+04
     -1225.0    3.153099e+05    1.095015e+04
     -1200.0    3.175203e+05    1.095015e+04
     -1175.0    3.274717e+05    1.095015e+04
     -1150.0    2.980657e+05    1.095015e+04
     -1125.0    3.044430e+05    1.095015e+04
     -1100.0    3.274351e+05    1.095015e+04
     -1075.0    3.197080e+05    1.095015e+04
     -1050.0    3.346641e+05    1.095015e+04
     -1025.0    3.281851e+05    1.095015e+04
     -1000.0    3.313552e+05    1.095015e+04
      -975.0    3.099253e+05    1.095015e+04
      -950.0    3.167186e+05    1.095015e+04
      -925.0    3.366785e+05    1.095015e+04
      -900.0    3.112951e+05    1.095015e+04
      -875.0    3.333445e+05    1.095015e+04
      -850.0    3.332077e+05    1.095015e+04
      -825.0    3.112771e+05    1.095015e+04
      -800.0    3.161809e+05    1.095015e+04
      -775.0    3.351246e+05    1.095015e+04
      -750.0    3.306452e+05    1.095015e+04
      -725.0    3.237020e+05    1.095015e+04
      -700.0    3.139169e+05    1.095015e+04
      -675.0    3.274789e+05    1.095015e+04
      -650.0    3.063907e+05    1.095015e+04
      -625.0    2.969655e+05    1.095015e+04
      -600.0    3.226598e+05    1.095015e+04
      -575.0    3.063673e+05    1.095015e+04
      -550.0    3.376750e+05    1.095015e+04
      -525.0    3.115279e+05    1.095015e+04
      -500.0    3.163828e+05    1.095015e+04
      -475.0    3.249132e+05    1.095015e+04
      -450.0    3.018145e+05    1.095015e+04
      -425.0    3.284039e+05    1.095015e+04
      -400.0    3.009345e+05    1.095015e+04
      -375.0    3.172604e+05    1.095015e+04
      -350.0    3.179065e+05    1.095015e+04
      -325.0    3.180786e+05    1.095015e+04
      -300.0    3.279183e+05    1.095015e+04
      -275.0    3.117701e+05    1.095015e+04
      -250.0    2.964057e+05    1.095015e+04
      -225.0    3.054678e+05    1.095015e+04
      -200.0    3.110665e+05    1.095015e+04
      -175.0    3.210339e+05    1.095015e+04
      -150.0    3.081216e+05    1.095015e+04
      -125.0    3.162897e+05    1.095015e+04
      -100.0    3.094149e+05    1.095015e+04
       -75.0    3.041001e+05    1.095015e+04
       -50.0    3.141585e+05    1.095015e+04
       -25.0    2.915471e+05    1.095015e+04
         0.0    2.936553e+05    1.095015e+04
        25.0    3.076585e+05    1.095015e+04
        50.0    2.830271e+05    1.095015e+04
        75.0    2.478674e+05    1.095015e+04
       100.0    1.888054e+05    1.095015e+04
       125.0    1.394573e+05    1.095015e+04
       150.0    8.659967e+04    1.095015e+04
       175.0    7.128542e+04    1.095015e+04
       200.0    3.540418e+04    1.095015e+04
       225.0    1.908159e+04    1.095015e+04
       250.0    4.289862e+03    1.095015e+04
       275.0   -1.759768e+04    1.095015e+04
       300.0    2.238771e+04    1.095015e+04
       325.0    1.093521e+05    1.095015e+04
       350.0    1.610238e+05    1.095015e+04
       375.0    2.120689e+05    1.095015e+04
       400.0    2.416617e+05    1.095015e+04
