# Name:      53N-H
# y_ppm:  115.38109    0.00001
# yw_hz:   19.96546    0.01185
# y_eta:    0.06360    0.00351
# x_ppm:    8.34930    0.00001
# xw_hz:   16.94310    0.01125
# x_eta:   -0.44861    0.00388
#---------------------------------------------
#          Z               I           I_err
    -12000.0    1.989297e+06    1.386831e+04
     -1800.0    1.295007e+06    1.386831e+04
     -1775.0    1.302535e+06    1.386831e+04
     -1750.0    1.290592e+06    1.386831e+04
     -1725.0    1.284381e+06    1.386831e+04
     -1700.0    1.282726e+06    1.386831e+04
     -1675.0    1.325405e+06    1.386831e+04
     -1650.0    1.303500e+06    1.386831e+04
     -1625.0    1.278713e+06    1.386831e+04
     -1600.0    1.288471e+06    1.386831e+04
     -1575.0    1.275925e+06    1.386831e+04
     -1550.0    1.299936e+06    1.386831e+04
     -1525.0    1.261937e+06    1.386831e+04
     -1500.0    1.292209e+06    1.386831e+04
     -1475.0    1.287985e+06    1.386831e+04
     -1450.0    1.288541e+06    1.386831e+04
     -1425.0    1.264633e+06    1.386831e+04
     -1400.0    1.307918e+06    1.386831e+04
     -1375.0    1.288956e+06    1.386831e+04
     -1350.0    1.294692e+06    1.386831e+04
     -1325.0    1.294101e+06    1.386831e+04
     -1300.0    1.278968e+06    1.386831e+04
     -1275.0    1.281234e+06    1.386831e+04
     -1250.0    1.283028e+06    1.386831e+04
     -1225.0    1.276145e+06    1.386831e+04
     -1200.0    1.298072e+06    1.386831e+04
     -1175.0    1.277610e+06    1.386831e+04
     -1150.0    1.293238e+06    1.386831e+04
     -1125.0    1.260533e+06    1.386831e+04
     -1100.0    1.280799e+06    1.386831e+04
     -1075.0    1.315244e+06    1.386831e+04
     -1050.0    1.296957e+06    1.386831e+04
     -1025.0    1.292432e+06    1.386831e+04
     -1000.0    1.280396e+06    1.386831e+04
      -975.0    1.257304e+06    1.386831e+04
      -950.0    1.290959e+06    1.386831e+04
      -925.0    1.281272e+06    1.386831e+04
      -900.0    1.246476e+06    1.386831e+04
      -875.0    1.276663e+06    1.386831e+04
      -850.0    1.277745e+06    1.386831e+04
      -825.0    1.250241e+06    1.386831e+04
      -800.0    1.264183e+06    1.386831e+04
      -775.0    1.256799e+06    1.386831e+04
      -750.0    1.251282e+06    1.386831e+04
      -725.0    1.264429e+06    1.386831e+04
      -700.0    1.231749e+06    1.386831e+04
      -675.0    1.223652e+06    1.386831e+04
      -650.0    1.211227e+06    1.386831e+04
      -625.0    1.211379e+06    1.386831e+04
      -600.0    1.181057e+06    1.386831e+04
      -575.0    1.137279e+06    1.386831e+04
      -550.0    1.060291e+06    1.386831e+04
      -525.0    1.029645e+06    1.386831e+04
      -500.0    9.779378e+05    1.386831e+04
      -475.0    7.704631e+05    1.386831e+04
      -450.0    5.183804e+05    1.386831e+04
      -425.0    1.856915e+05    1.386831e+04
      -400.0    1.894054e+04    1.386831e+04
      -375.0   -7.048104e+03    1.386831e+04
      -350.0    3.054312e+04    1.386831e+04
      -325.0    2.668891e+05    1.386831e+04
      -300.0    5.903808e+05    1.386831e+04
      -275.0    7.961071e+05    1.386831e+04
      -250.0    9.679979e+05    1.386831e+04
      -225.0    1.038938e+06    1.386831e+04
      -200.0    1.134537e+06    1.386831e+04
      -175.0    1.141262e+06    1.386831e+04
      -150.0    1.194911e+06    1.386831e+04
      -125.0    1.219861e+06    1.386831e+04
      -100.0    1.203863e+06    1.386831e+04
       -75.0    1.201743e+06    1.386831e+04
       -50.0    1.219808e+06    1.386831e+04
       -25.0    1.252970e+06    1.386831e+04
         0.0    1.240542e+06    1.386831e+04
        25.0    1.268602e+06    1.386831e+04
        50.0    1.282308e+06    1.386831e+04
        75.0    1.272313e+06    1.386831e+04
       100.0    1.285225e+06    1.386831e+04
