# Name:      56N-H
# y_ppm:  102.84274    0.00003
# yw_hz:   20.08127    0.04708
# y_eta:   -0.00155    0.00739
# x_ppm:    8.69860    0.00004
# xw_hz:   20.12212    0.08637
# x_eta:    0.01738    0.00611
#---------------------------------------------
#          Z               I           I_err
    -12000.0   -6.040801e+05    1.097945e+04
     -1800.0   -3.455211e+05    1.097945e+04
     -1775.0   -3.668305e+05    1.097945e+04
     -1750.0   -3.440139e+05    1.097945e+04
     -1725.0   -3.485636e+05    1.097945e+04
     -1700.0   -3.408996e+05    1.097945e+04
     -1675.0   -3.461913e+05    1.097945e+04
     -1650.0   -3.273189e+05    1.097945e+04
     -1625.0   -3.326149e+05    1.097945e+04
     -1600.0   -3.301635e+05    1.097945e+04
     -1575.0   -3.041689e+05    1.097945e+04
     -1550.0   -2.880652e+05    1.097945e+04
     -1525.0   -2.776643e+05    1.097945e+04
     -1500.0   -2.351445e+05    1.097945e+04
     -1475.0   -1.593266e+05    1.097945e+04
     -1450.0   -8.011443e+04    1.097945e+04
     -1425.0   -1.921121e+02    1.097945e+04
     -1400.0   -2.027749e+03    1.097945e+04
     -1375.0   -8.770610e+03    1.097945e+04
     -1350.0   -2.700611e+04    1.097945e+04
     -1325.0   -1.318880e+05    1.097945e+04
     -1300.0   -2.185700e+05    1.097945e+04
     -1275.0   -2.417499e+05    1.097945e+04
     -1250.0   -2.829423e+05    1.097945e+04
     -1225.0   -3.321518e+05    1.097945e+04
     -1200.0   -3.323200e+05    1.097945e+04
     -1175.0   -3.442727e+05    1.097945e+04
     -1150.0   -3.441264e+05    1.097945e+04
     -1125.0   -3.481154e+05    1.097945e+04
     -1100.0   -3.620550e+05    1.097945e+04
     -1075.0   -3.691477e+05    1.097945e+04
     -1050.0   -3.446681e+05    1.097945e+04
     -1025.0   -3.746257e+05    1.097945e+04
     -1000.0   -3.299691e+05    1.097945e+04
      -975.0   -3.566748e+05    1.097945e+04
      -950.0   -3.367943e+05    1.097945e+04
      -925.0   -3.384319e+05    1.097945e+04
      -900.0   -3.455356e+05    1.097945e+04
      -875.0   -3.684979e+05    1.097945e+04
      -850.0   -3.424786e+05    1.097945e+04
      -825.0   -3.716218e+05    1.097945e+04
      -800.0   -3.730378e+05    1.097945e+04
      -775.0   -3.525335e+05    1.097945e+04
      -750.0   -3.650820e+05    1.097945e+04
      -725.0   -3.462977e+05    1.097945e+04
      -700.0   -3.759964e+05    1.097945e+04
      -675.0   -3.647918e+05    1.097945e+04
      -650.0   -3.775463e+05    1.097945e+04
      -625.0   -3.589788e+05    1.097945e+04
      -600.0   -3.375779e+05    1.097945e+04
      -575.0   -3.581764e+05    1.097945e+04
      -550.0   -3.533886e+05    1.097945e+04
      -525.0   -3.584495e+05    1.097945e+04
      -500.0   -3.598655e+05    1.097945e+04
      -475.0   -3.619615e+05    1.097945e+04
      -450.0   -3.677192e+05    1.097945e+04
      -425.0   -3.529077e+05    1.097945e+04
      -400.0   -3.704540e+05    1.097945e+04
      -375.0   -3.906786e+05    1.097945e+04
      -350.0   -3.543744e+05    1.097945e+04
      -325.0   -3.574491e+05    1.097945e+04
      -300.0   -3.487789e+05    1.097945e+04
      -275.0   -3.694258e+05    1.097945e+04
      -250.0   -3.640557e+05    1.097945e+04
      -225.0   -3.824347e+05    1.097945e+04
      -200.0   -3.680183e+05    1.097945e+04
      -175.0   -3.783143e+05    1.097945e+04
      -150.0   -3.832384e+05    1.097945e+04
      -125.0   -3.777100e+05    1.097945e+04
      -100.0   -3.571879e+05    1.097945e+04
       -75.0   -3.588547e+05    1.097945e+04
       -50.0   -3.487833e+05    1.097945e+04
       -25.0   -3.758656e+05    1.097945e+04
         0.0   -3.355251e+05    1.097945e+04
        25.0   -3.705798e+05    1.097945e+04
        50.0   -3.760099e+05    1.097945e+04
        75.0   -3.719125e+05    1.097945e+04
       100.0   -3.766510e+05    1.097945e+04
       125.0   -3.685609e+05    1.097945e+04
       150.0   -3.647471e+05    1.097945e+04
       175.0   -3.678082e+05    1.097945e+04
       200.0   -3.832932e+05    1.097945e+04
       225.0   -3.731218e+05    1.097945e+04
       250.0   -3.519632e+05    1.097945e+04
       275.0   -3.569133e+05    1.097945e+04
       300.0   -3.625181e+05    1.097945e+04
       325.0   -3.620238e+05    1.097945e+04
       350.0   -3.846391e+05    1.097945e+04
       375.0   -3.528491e+05    1.097945e+04
       400.0   -3.643470e+05    1.097945e+04
       425.0   -3.810015e+05    1.097945e+04
       450.0   -3.811884e+05    1.097945e+04
       475.0   -3.786563e+05    1.097945e+04
       500.0   -3.666827e+05    1.097945e+04
       525.0   -3.719351e+05    1.097945e+04
       550.0   -3.510950e+05    1.097945e+04
       575.0   -3.671600e+05    1.097945e+04
       600.0   -3.685269e+05    1.097945e+04
       625.0   -3.633921e+05    1.097945e+04
       650.0   -3.668993e+05    1.097945e+04
       675.0   -3.820198e+05    1.097945e+04
       700.0   -3.635359e+05    1.097945e+04
       725.0   -3.446499e+05    1.097945e+04
       750.0   -3.765083e+05    1.097945e+04
       775.0   -3.811011e+05    1.097945e+04
       800.0   -3.631017e+05    1.097945e+04
       825.0   -3.603955e+05    1.097945e+04
       850.0   -3.733535e+05    1.097945e+04
       875.0   -3.620105e+05    1.097945e+04
       900.0   -3.613356e+05    1.097945e+04
       925.0   -3.754546e+05    1.097945e+04
       950.0   -3.571361e+05    1.097945e+04
       975.0   -3.726664e+05    1.097945e+04
      1000.0   -3.629833e+05    1.097945e+04
      1025.0   -3.657065e+05    1.097945e+04
      1050.0   -3.688730e+05    1.097945e+04
      1075.0   -3.769928e+05    1.097945e+04
      1100.0   -3.570700e+05    1.097945e+04
      1125.0   -3.671190e+05    1.097945e+04
      1150.0   -3.459975e+05    1.097945e+04
